#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
1048576 5222.780630 5220.100284 5214.029923 5240.559578 5187.749863 5244.171247 5239.449441 5208.440125 5234.330893 5239.790305 5237.748846 5243.930966 5254.739895 5243.809894 5206.350237 5248.101428 5222.171545 5253.080279 5243.210122 5225.580186 5250.610411 5264.459178 5265.519023 5249.740556 5215.439945 5245.240405 5246.790126 5256.190896 5243.148655 5236.530676 5237.100646 5242.599174 5208.279938 5249.969661 5238.259211 5231.760442 5260.430276 5258.200690 5254.719406 5260.009319 5253.229290 5251.761526 5253.450945 5253.201351 5252.361298 5228.189752 5204.100162 5230.179057 5226.070061 5258.189514 5245.629698 5238.479003 5257.479846 5243.731663 5250.839517 5247.129127 5233.420059 5236.899480 5238.909274 5234.250799 5246.529356 5260.430276 5259.430036 5248.010159 
1048576 5257.351324 5221.389234 5219.539627 5277.380347 5213.299766 5244.100466 5251.551047 5205.279216 5242.278799 5236.539990 5236.459896 5245.260894 5261.808634 5233.209580 5226.848647 5259.810016 5215.760320 5254.339427 5240.859464 5220.159888 5255.850032 5246.490240 5244.649947 5254.359916 5238.618702 5198.748782 5234.079435 5247.469991 5231.201649 5255.790427 5255.268887 5221.039057 5173.280835 5247.609690 5238.039419 5217.639729 5258.990452 5255.239084 5257.170647 5250.411108 5250.779912 5253.689364 5246.959627 5256.999284 5230.801180 5229.908973 5206.020549 5199.240521 5246.158689 5257.388577 5245.029926 5257.500336 5246.290937 5242.560059 5250.070244 5239.058286 5228.100345 5231.820047 5238.801241 5234.111100 5257.809535 5245.791748 5251.079798 5260.528997 
1048576 5229.849368 5265.479907 5265.669897 5241.708830 5267.018452 5247.829482 5249.049515 5193.950608 5239.820108 5231.501535 5234.170705 5235.210061 5241.690204 5231.359974 5226.001143 5245.639011 5214.260891 5251.299590 5242.420360 5223.849788 5257.459357 5241.259933 5246.439949 5259.839818 5250.399932 5203.390494 5239.140242 5258.250982 5225.328729 5213.670433 5228.780210 5228.290334 5170.689896 5231.559277 5223.819986 5219.239742 5249.951035 5248.980597 5255.239084 5243.120715 5247.440189 5246.719345 5253.249779 5258.120596 5234.699696 5164.699629 5193.240941 5225.220695 5223.250017 5254.540592 5240.211263 5235.899240 5250.738934 5242.221057 5246.199667 5249.978974 5231.948569 5231.969059 5240.511149 5233.770236 5236.139521 5253.909156 5252.689123 5233.079195 
1048576 5221.549422 5200.229585 5197.009072 5239.069462 5220.310763 5243.830383 5246.929824 5216.540769 5230.199546 5244.258791 5241.230130 5233.189091 5255.360156 5243.951455 5206.311122 5249.219015 5214.519799 5254.268646 5241.619423 5221.121013 5263.859406 5243.388936 5242.910236 5264.909938 5217.419937 5237.950012 5244.810134 5251.949653 5220.711231 5234.871060 5203.440785 5233.310163 5172.520876 5237.551406 5226.790905 5221.029744 5248.449743 5248.950794 5247.790366 5246.728659 5240.801722 5243.850872 5247.900262 5244.109780 5230.549723 5165.699869 5164.880306 5219.170824 5219.940096 5258.269608 5237.959325 5238.069221 5248.900503 5246.959627 5252.290517 5251.020193 5237.620324 5239.121616 5247.130990 5237.560719 5237.150937 5259.500816 5253.599957 5240.280181 
1048576 5218.761042 5230.600014 5227.560177 5235.029384 5372.019485 5289.010704 5257.310346 5308.618769 5283.029750 5252.318457 5250.869319 5278.129131 5244.169384 5244.210362 5231.169984 5241.120234 5213.649943 5254.250020 5241.299048 5224.080756 5248.580128 5239.451304 5243.748426 5249.429494 5209.889263 5220.750347 5237.549543 5248.989910 5238.071084 5231.069401 5200.369284 5230.460316 5194.410682 5240.939558 5226.479843 5222.780630 5246.059969 5253.091455 5258.560181 5249.749869 5246.490240 5238.529295 5239.909515 5253.659561 5232.339725 5196.228623 5195.308477 5223.900080 5209.239200 5276.789889 5266.409367 5225.310102 5299.661309 5258.159712 5260.039121 5297.571421 5287.069827 5236.309022 5245.091394 5286.050960 5228.981376 5276.679993 5270.330235 5230.858922 
1048576 5226.759240 5224.930122 5219.040439 5247.499794 5211.619660 5247.330293 5240.710452 5205.890164 5222.231150 5230.890587 5232.630298 5225.211382 5323.430523 5236.729980 5226.930603 5298.269913 5212.001503 5252.109841 5234.180018 5214.890465 5246.620625 5251.619965 5244.059488 5252.080038 5229.370669 5227.180198 5234.690383 5241.269246 5229.920149 5230.879411 5228.810012 5219.880491 5199.220031 5239.991471 5229.430273 5226.049572 5248.708650 5249.390379 5247.429013 5254.039541 5243.498832 5247.659981 5248.889327 5256.108940 5232.140422 5226.070061 5221.759900 5195.541307 5225.060508 5254.220217 5240.099505 5237.769336 5252.830684 5245.340988 5249.379203 5245.950073 5238.220096 5225.399509 5233.090371 5240.119994 5237.210542 5252.480507 5252.990872 5243.280903 
1048576 5225.040019 5225.291476 5219.090730 5239.740014 5250.200629 5248.770118 5254.840478 5246.890709 5276.929587 5251.258612 5243.089050 5274.549127 5236.860365 5245.650187 5236.119032 5237.439647 5231.428891 5263.930187 5250.120535 5238.220096 5247.179419 5256.630480 5253.000185 5253.659561 5269.730464 5233.161151 5239.238963 5280.619487 5246.739835 5241.349339 5242.370069 5246.289074 5204.590037 5239.350721 5227.349699 5231.209099 5266.441032 5261.998624 5261.020735 5263.360217 5258.640274 5249.630660 5250.038579 5253.760144 5257.960409 5228.279158 5196.850747 5239.639431 5217.259750 5269.980058 5258.798599 5233.529955 5278.009921 5248.129368 5254.510790 5276.029930 5266.420543 5236.670375 5242.979154 5266.088992 5237.739533 5269.480869 5268.000066 5244.670436 
1048576 5249.189213 5214.430392 5211.330950 5269.790068 5221.851170 5235.120654 5240.388215 5216.380581 5241.340026 5227.210000 5227.210000 5236.839876 5260.059610 5236.539990 5229.290575 5259.979516 5223.950371 5247.879773 5232.669413 5226.440728 5257.250741 5250.399932 5248.190835 5267.459899 5252.128467 5200.879648 5236.830562 5260.860547 5232.160911 5224.941298 5225.360394 5227.681249 5167.691037 5236.739293 5227.670074 5219.040439 5262.538791 5253.080279 5252.139643 5269.499496 5256.980658 5251.260474 5253.581330 5255.810916 5242.850631 5229.599774 5200.210959 5208.220333 5212.448537 5258.798599 5221.309140 5225.799978 5251.290277 5246.788263 5255.298689 5241.051316 5250.599235 5232.419819 5243.299529 5238.829181 5230.110139 5255.030468 5248.671398 5232.401192 
1048576 5221.391097 5221.100524 5218.449980 5241.330713 5226.509646 5245.659500 5248.960108 5222.460255 5242.530257 5236.130208 5235.170946 5250.109360 5247.559398 5243.219435 5225.630477 5250.619724 5216.890946 5254.080519 5241.969600 5224.041641 5258.869380 5253.480747 5250.759423 5262.451246 5246.030167 5225.749686 5238.680169 5257.179961 5242.619663 5233.548582 5232.689902 5237.089470 5172.939971 5252.219737 5238.991231 5220.960826 5277.549848 5261.188373 5259.860307 5272.820592 5262.270570 5257.131532 5264.339969 5267.100409 5245.961249 5204.519257 5205.079913 5204.111338 5224.389955 5252.398551 5241.600797 5238.279700 5242.709070 5248.770118 5251.068622 5247.360095 5243.649706 5230.629817 5240.539089 5241.110921 5252.879113 5257.429555 5256.829783 5250.049755 
1048576 5219.070241 5223.531276 5218.040198 5239.849910 5222.029984 5241.019651 5247.009918 5217.190832 5244.670436 5240.211263 5238.620564 5245.350301 5254.229531 5253.780633 5235.878751 5249.390379 5222.849548 5249.569193 5234.429613 5235.159770 5271.470174 5261.540413 5251.338705 5275.640637 5237.309262 5240.270868 5255.470052 5276.219919 5253.199488 5231.250077 5230.369046 5246.339366 5197.938532 5249.639973 5233.921111 5220.880732 5273.258314 5268.098786 5269.069225 5273.729563 5283.869803 5257.830024 5259.700119 5285.240710 5252.411589 5203.049630 5206.590518 5213.240162 5222.700536 5241.880193 5233.189091 5233.440548 5252.750590 5247.971043 5251.400173 5249.289796 5236.141384 5236.100405 5244.139582 5237.771198 5252.311006 5249.058828 5253.801122 5244.949833 
