#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
16384 148.680061 149.728730 146.908686 152.820721 150.909647 151.880085 153.528526 151.040033 150.149688 153.979287 152.260065 149.531290 154.070556 150.229782 150.451437 153.429806 146.821141 152.019784 149.829313 149.829313 153.139234 149.600208 149.380416 153.379515 151.369721 149.790198 150.039792 153.090805 150.199980 152.450055 152.710825 150.470063 146.780163 152.990222 149.080530 150.399283 153.461471 150.540844 150.678679 154.169276 151.960179 151.310116 149.648637 152.429566 152.429566 153.020024 153.271481 151.328743 149.609521 149.970874 147.148967 152.219087 149.929896 153.299421 153.480098 150.110573 148.810446 152.939931 153.008848 150.209293 153.040513 149.540603 149.540603 154.199079 
16384 151.410699 152.220950 147.208571 153.850764 152.399763 152.928755 153.040513 151.749700 150.438398 155.979767 153.040513 152.869150 153.919682 150.321051 149.771571 154.148787 150.039792 155.480579 149.669126 149.989501 154.521316 150.570646 150.268897 154.409558 152.250752 151.619315 150.559470 154.919922 151.248649 153.319910 152.550638 151.809305 148.579478 154.720619 150.030479 150.749460 154.940411 150.728971 149.989501 154.050067 152.710825 152.328983 150.268897 155.590475 151.349232 153.230503 152.708963 151.470304 151.451677 152.299181 147.080049 152.390450 152.280554 153.521076 153.329223 152.051449 150.099397 154.169276 153.278932 152.049586 153.969973 150.689855 149.400905 154.608861 
16384 150.620937 152.239576 148.100778 152.269378 151.738524 151.799992 153.500587 151.610002 150.701031 154.579058 154.679641 150.470063 154.459849 151.099637 150.930136 153.509900 149.099156 154.448673 149.281695 149.531290 154.180452 149.611384 150.840729 154.569745 152.438879 150.950626 152.429566 152.090564 151.269138 152.420253 153.429806 152.079388 147.519633 154.988840 150.099397 149.488449 154.409558 150.369480 150.740147 154.418871 153.338537 152.161345 152.070075 153.079629 151.690096 153.388828 153.260306 151.360407 150.740147 151.658431 147.689134 152.040273 151.978806 152.440742 154.020265 151.699409 149.110332 153.599307 154.590234 149.119645 154.379755 150.481239 150.268897 154.910609 
16384 148.890540 149.440020 146.800652 151.930377 149.820000 151.190907 152.701512 149.950385 149.520114 152.520835 150.570646 151.349232 151.978806 149.749219 149.508938 153.599307 146.679580 152.189285 149.479136 149.520114 153.539702 148.739666 148.680061 152.209774 151.859596 148.760155 149.050727 151.660293 150.449574 151.589513 151.628628 151.509419 146.329403 152.280554 148.950145 148.909166 152.818859 148.551539 149.169937 152.660534 152.328983 149.531290 148.260966 152.349472 150.019303 152.610242 152.349472 150.689855 148.929656 149.300322 147.229061 152.099878 150.600448 151.479617 152.109191 149.050727 148.959458 151.500106 151.410699 148.650259 152.651221 148.909166 148.180872 154.050067 
16384 147.130340 148.018822 145.779923 150.179490 148.139894 149.719417 150.300562 148.499385 147.020444 150.561333 150.179490 147.800893 151.859596 147.080049 148.689374 150.371343 144.969672 151.140615 147.460029 147.100538 150.049105 147.059560 146.901235 149.680302 148.888677 148.210675 147.780403 150.209293 148.689374 150.250271 150.769949 150.440261 144.049525 150.920823 148.260966 148.329884 150.870532 147.338957 147.629529 151.040033 149.568543 147.638842 147.299841 150.188804 149.121508 149.941072 151.690096 148.620456 147.219747 148.249790 145.919621 151.440501 148.151070 149.739906 149.950385 147.489831 146.809965 150.870532 149.888918 147.279352 151.978806 147.840008 147.249550 150.870532 
16384 149.030238 148.769468 144.690275 150.380656 149.099156 150.589272 150.499865 147.229061 148.838386 151.379034 150.619075 147.650018 151.319429 147.730112 147.659332 150.229782 147.560611 150.769949 147.588551 147.210434 151.630491 147.690997 146.770850 150.080770 150.598586 148.318708 148.579478 150.250271 149.330124 150.861219 148.961321 147.929415 146.180391 150.989741 147.799030 147.609040 151.978806 147.569925 147.039071 150.088221 150.728971 148.778781 147.670507 149.829313 149.399042 150.738284 150.728971 147.620216 149.840489 147.851184 145.221129 150.719658 149.589032 150.509179 149.879605 147.690997 147.990882 151.021406 150.950626 147.119164 152.159482 148.709863 146.478415 150.660053 
16384 147.789717 146.619976 144.690275 150.591135 148.709863 150.129199 149.291009 147.489831 147.579238 151.921064 148.830935 147.840008 150.689855 148.229301 147.059560 150.300562 145.981088 150.179490 147.080049 147.679821 150.710344 147.009268 146.539882 150.030479 149.980187 148.760155 147.489831 150.021166 147.230923 149.469823 149.810687 147.428364 144.539401 149.879605 146.931037 148.240477 150.790438 146.890059 146.940351 149.609521 151.051208 149.451196 146.640465 150.211155 148.469582 151.079148 150.699168 147.940591 147.650018 147.029757 144.461170 149.760395 148.640946 150.341541 150.589272 147.279352 146.940351 151.628628 149.590895 147.091225 150.479376 147.299841 147.311017 150.261447 
16384 148.909166 150.619075 145.960599 151.949003 149.618834 151.500106 151.190907 149.849802 149.330124 153.359026 152.291730 149.158761 152.619556 149.890780 147.940591 151.589513 147.011131 152.248889 148.041174 149.860978 152.649358 148.700550 147.860497 151.740387 151.410699 149.520114 152.250752 152.459368 150.009990 152.669847 150.850043 148.938969 146.489590 152.738765 148.270279 149.698928 152.090564 149.218366 148.279592 152.219087 151.900575 150.270760 149.371102 152.239576 149.810687 152.548775 150.898471 149.570405 149.080530 149.218366 145.928934 152.898952 149.689615 151.710585 150.850043 149.318948 148.318708 152.191147 154.389068 149.210915 152.358785 149.659812 147.510320 151.649117 
16384 150.410458 150.999054 147.471204 151.779503 151.729211 152.919441 153.450295 149.920583 150.620937 154.290348 153.118744 151.179731 153.061002 149.739906 150.861219 153.850764 149.440020 154.310837 150.408596 148.590654 153.949484 150.019303 151.099637 153.159723 152.830034 150.740147 150.790438 153.150409 151.161104 152.450055 153.589994 150.790438 148.009509 153.800473 149.820000 148.739666 154.629350 150.330365 150.620937 152.589753 153.739005 150.969252 150.781125 153.521076 150.179490 152.150169 153.800473 150.689855 151.149929 151.241198 148.139894 152.070075 151.541084 152.770430 154.230744 150.758773 150.389969 153.310597 153.450295 150.028616 154.139474 149.959698 150.419772 153.649598 
16384 150.268897 151.179731 148.460269 153.299421 151.380897 153.159723 152.699649 150.511041 150.710344 153.869390 153.530389 151.580200 152.699649 151.349232 150.030479 153.260306 148.849562 154.439360 151.639804 150.399283 153.759494 151.110813 149.849802 152.979046 154.750422 150.220469 151.040033 153.841451 150.719658 153.230503 152.910128 151.949003 147.730112 153.878704 151.040033 150.330365 153.569505 150.490552 150.259584 153.299421 153.210014 150.371343 151.010230 153.871253 150.300562 153.841451 153.239816 150.389969 151.200220 150.868669 149.970874 151.788816 151.271001 152.939931 152.880326 150.499865 150.090083 152.759254 153.031200 151.010230 153.489411 150.520355 150.159001 154.418871 
16384 149.691477 149.169937 146.301463 151.449814 149.618834 151.660293 152.010471 148.950145 148.110092 151.999295 151.449814 148.698688 151.159242 148.359686 148.911029 151.600689 147.450715 151.788816 148.860738 147.679821 152.120367 149.009749 148.320571 151.788816 150.760636 149.339437 149.739906 151.701272 148.840249 151.960179 151.349232 149.641186 146.910548 151.999295 149.451196 148.691237 152.150169 149.589032 149.000436 150.918961 151.010230 149.149448 149.430707 151.259825 148.940831 150.850043 151.269138 149.520114 149.240717 149.099156 146.260485 150.799751 149.140134 151.919201 151.040033 149.009749 147.581100 151.928514 151.490793 148.359686 151.660293 148.419291 148.110092 152.390450 
16384 149.790198 149.050727 145.498663 151.388347 151.790679 151.060522 152.330846 150.000677 149.250031 152.200460 151.390210 149.488449 153.569505 148.640946 149.119645 151.610002 148.318708 152.118504 149.050727 149.380416 152.809545 148.240477 149.410218 151.759014 151.230022 148.801133 148.750842 151.909888 150.440261 151.159242 151.950866 149.829313 147.759914 151.509419 149.030238 148.070976 154.379755 148.849562 149.559230 153.010711 151.561573 149.579719 149.078667 151.930377 150.451437 151.108950 151.980668 148.938969 150.639564 149.199739 146.601349 151.649117 149.991363 150.689855 152.539462 150.009990 148.691237 151.619315 151.699409 148.229301 152.921304 148.590654 148.311257 152.129680 
16384 149.480999 148.879364 146.361068 150.941312 149.270520 151.179731 151.209533 148.260966 149.410218 151.619315 151.120126 148.380175 152.630731 148.989260 149.041414 151.598826 146.670267 150.630251 148.259103 147.759914 152.250752 147.748739 149.099156 150.831416 151.108950 147.929415 149.190426 150.980428 149.760395 150.538981 151.189044 149.039552 147.050247 151.900575 148.579478 148.819759 152.720138 148.179010 148.851424 150.328502 151.781365 148.350373 148.760155 151.660293 150.220469 151.960179 150.989741 149.820000 148.510560 148.070976 145.399943 150.980428 149.240717 151.211396 152.340159 147.959217 148.329884 151.200220 151.369721 148.490071 152.699649 147.800893 147.620216 151.349232 
16384 149.831176 151.390210 147.590414 152.779743 150.889158 152.761117 152.450055 150.389969 150.319189 153.619796 151.799992 151.010230 153.159723 150.531530 149.790198 153.239816 148.439780 154.171139 149.190426 150.291249 152.479857 149.888918 148.801133 152.891502 152.949244 150.341541 150.159001 153.049827 150.129199 153.230503 152.049586 150.879845 147.629529 153.958797 148.938969 150.380656 153.571367 150.110573 149.449334 153.569505 152.500346 149.929896 149.060041 153.150409 150.481239 153.049827 152.349472 150.071457 149.859115 151.250511 147.620216 153.100118 151.081011 152.550638 152.248889 150.369480 149.870291 152.530149 152.759254 150.188804 153.901055 150.619075 149.369240 153.429806 
16384 150.080770 150.641426 147.959217 153.429806 150.971115 151.999295 153.889880 149.771571 150.598586 153.718516 151.909888 151.440501 154.670328 152.019784 149.639323 153.230503 148.000196 153.951347 148.899853 150.369480 154.249370 149.389729 150.421634 151.930377 153.660774 150.831416 150.030479 153.679401 151.550397 152.559951 150.918961 150.710344 147.469342 155.249611 150.250271 150.458887 154.139474 149.879605 150.831416 152.200460 153.090805 150.520355 149.389729 153.651461 152.060762 154.919922 152.450055 150.240958 149.920583 150.401145 147.299841 153.210014 151.239336 152.170658 153.468922 149.749219 150.430948 153.120607 153.658912 150.609761 154.301524 150.060281 147.931278 153.299421 
16384 150.429085 151.701272 147.720799 152.770430 152.040273 153.711066 153.129920 151.790679 150.211155 156.238675 152.461231 150.600448 153.299421 151.218846 152.401626 153.850764 148.311257 153.800473 150.049105 150.108710 154.990703 151.369721 150.101259 154.551119 151.790679 152.789056 150.760636 153.109431 150.609761 153.630972 152.740628 151.278451 147.819519 154.390931 150.591135 151.669607 155.139714 151.269138 150.371343 154.940411 152.790919 153.400004 150.648877 153.850764 150.639564 154.150650 153.919682 151.460990 150.380656 151.239336 147.569925 153.129920 152.021646 153.860077 152.969733 152.239576 149.359927 155.050308 153.219327 149.330124 153.670087 151.159242 149.849802 153.740868 
16384 147.489831 149.620697 145.569444 151.719898 149.300322 150.959939 152.520835 149.870291 147.780403 152.789056 151.181594 149.399042 151.811168 149.060041 148.899853 151.079148 145.319849 151.259825 148.029998 147.899613 152.301043 148.599967 148.739666 150.818378 149.650499 149.240717 147.840008 151.840970 148.721039 151.639804 151.241198 148.721039 144.630671 151.900575 148.110092 148.059800 151.488930 148.698688 149.130821 152.630731 149.669126 149.689615 148.469582 151.529908 148.810446 152.010471 150.930136 148.529187 147.100538 147.869810 145.981088 151.310116 148.680061 151.598826 151.438639 148.609281 146.601349 151.349232 150.119886 148.249790 152.040273 149.069354 147.311017 151.129439 
16384 148.661435 149.250031 146.059319 150.589272 150.229782 151.868910 151.420012 149.609521 147.450715 151.900575 151.749700 149.780884 151.490793 149.078667 149.169937 151.699409 146.519393 151.939690 148.490071 148.210675 152.500346 149.680302 148.760155 151.669607 150.419772 149.480999 149.350613 152.060762 148.830935 151.330605 151.209533 150.360167 146.130100 151.880085 148.849562 148.359686 152.900815 149.900094 149.220228 151.729211 150.280073 149.350613 148.909166 152.349472 149.568543 152.600929 152.068213 149.849802 148.620456 148.911029 146.070495 151.189044 149.289146 152.729452 151.799992 148.940831 147.139654 152.239576 151.660293 149.199739 152.049586 148.499385 148.760155 152.841210 
16384 147.599727 148.339197 146.251172 152.541324 149.259344 152.509660 150.710344 150.190666 146.839768 151.310116 151.470304 148.938969 150.689855 149.920583 147.089362 152.030960 145.750120 151.138753 148.808584 148.421153 150.639564 148.329884 147.979707 152.198598 148.519874 148.549676 149.849802 150.460750 148.661435 150.719658 149.689615 149.101019 145.640224 151.470304 148.739666 149.829313 152.321532 149.050727 148.521736 152.099878 149.970874 148.691237 148.288906 152.280554 148.929656 152.589753 150.429085 149.890780 147.949904 148.858875 146.629289 151.799992 148.519874 152.070075 150.430948 149.959698 146.269798 151.550397 152.658671 148.219988 151.220709 149.479136 146.690756 152.679160 
16384 150.319189 151.200220 147.419050 152.440742 149.611384 152.848661 151.770189 149.918720 150.220469 153.370202 154.480338 152.900815 152.619556 151.028857 149.639323 152.168795 147.599727 153.871253 149.529427 151.539221 152.109191 149.970874 149.670988 152.720138 152.878463 149.909407 152.349472 154.079869 148.849562 153.589994 152.779743 150.600448 147.599727 153.800473 150.639564 149.590895 152.830034 150.488690 149.881467 153.230503 153.001398 149.428844 149.961561 155.430287 150.110573 154.079869 153.061002 149.618834 150.050968 151.060522 147.260725 153.789297 149.121508 152.859837 152.138993 150.399283 150.199980 152.980909 154.498965 150.239095 152.770430 151.200220 148.929656 153.990462 
