#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
67108864 174794.809893 178355.989978 180376.959965 193479.210138 178327.750415 178138.600662 186582.710594 193484.200165 180027.991533 180009.689182 180039.569736 180099.159479 180079.858750 180038.221180 179954.409599 179992.580786 174748.981372 178367.270157 181644.340977 185071.401298 178202.850744 178303.610533 180431.040004 186386.490241 179930.750281 180039.890110 180056.789890 179888.110608 179902.179167 179982.511327 180085.949600 180092.250928 176361.020654 180036.900565 176506.111398 186882.929876 179946.960881 179932.719097 179931.931198 183421.809226 178134.370595 178235.709667 178084.321320 178146.408871 178250.500932 177982.911468 178286.759183 178139.351308 176534.678787 179871.819913 180028.170347 187063.749880 179996.749386 179946.830496 183211.339638 183472.950011 178334.489465 178285.449743 178205.499426 178200.989962 178312.338889 178165.361285 178235.799074 178353.410214 
67108864 175557.728857 179116.530344 180754.180998 190922.319889 179069.841281 178878.011182 184024.309739 190946.759656 180515.980348 180497.990921 180698.128417 180739.350617 180607.691407 180528.469384 180619.230494 180646.698922 175487.941131 179116.139188 181045.189500 184537.861496 178951.799870 179056.160152 180820.859969 184315.539896 180475.359783 180529.510602 180715.240538 180542.679504 180395.880714 180479.589850 180750.079453 180712.480098 176978.550851 180664.150044 177143.311128 180437.728763 180564.349517 180563.900620 180524.930358 180518.180132 178888.110444 178986.441344 180488.510057 180569.460616 178993.970156 178738.309070 180705.931038 180566.979572 177151.901647 180510.029197 177144.709975 180626.390502 180609.371513 180586.259812 180298.831314 180563.639849 179087.759927 179009.240121 180659.970269 180607.499555 179055.619985 178903.991356 180682.919919 180756.909773 
67108864 177968.749776 181465.649977 178123.559803 188728.580251 178733.710200 181285.759434 181836.938486 188777.999952 178439.630195 178417.570889 179941.149428 179966.948926 178498.961031 178450.630978 179825.270548 179851.688445 175152.270123 181516.349316 176562.419161 187100.149691 178309.820592 178714.711219 179824.169725 181688.649580 178373.200819 178449.528292 179920.259863 179752.979428 178282.549605 178406.968713 179953.789338 179938.038811 174782.851711 178473.180160 178286.600858 181629.000232 178377.220407 178356.070071 180114.209652 182739.300653 178248.720244 178355.330601 179709.490389 179772.378877 178323.458880 178099.321201 179918.710142 179776.839912 174964.141101 178305.579349 178310.958669 182845.810428 178425.110877 178387.988359 182519.240305 182732.190937 178454.240784 178401.248530 179830.849171 179822.059348 178420.789540 178283.710033 179869.860411 179973.330349 
67108864 175205.029547 178755.259141 178490.711376 189126.810059 178726.959974 178540.538996 182214.841247 189154.610038 178734.950721 178709.208965 180371.239781 180419.959128 178780.838847 178738.629445 180294.439197 180327.419192 175153.579563 178767.710924 177008.530125 187551.051378 178589.170799 178696.939722 180296.080187 182042.609900 178659.200668 178741.520271 180385.600775 180221.488699 178584.599867 178693.229333 180426.130071 180437.589064 175065.239891 178759.369999 178742.760792 182064.909488 178666.610271 178650.848567 180170.049891 182137.269527 178545.359522 178640.279919 180173.140019 180250.801146 178644.590080 178394.209594 180384.458974 180240.340531 175241.580233 178599.441424 178723.519668 182238.429785 178714.990616 178690.109402 179952.299222 182188.030332 178742.859513 178725.650534 180303.059518 180294.340476 178718.978539 178563.509136 180342.299864 180438.110605 
67108864 175838.040188 179399.399087 179584.169760 190217.480063 179366.840050 179185.148329 183321.079239 190254.800022 179816.098884 179789.470509 178292.511031 178332.109004 179849.300534 179815.240204 178201.168776 178228.691220 175794.851035 179399.991408 176503.321156 187064.029276 179243.311286 179336.139932 179813.681170 183133.110404 179739.229381 179824.208841 178296.359256 178127.510473 179689.310491 179777.540267 178336.020559 178341.878578 176359.020174 180034.119636 180025.661364 183829.510584 179932.920262 179896.749556 179882.651195 183412.220329 178422.808647 178544.791415 178087.189794 178152.071312 178530.219942 178291.060030 178289.901465 178143.618628 176525.780931 179878.128693 180521.860719 190351.739526 179975.179955 179940.769449 183022.418991 190334.150568 178629.210219 178587.818518 178215.939552 178201.099858 178603.779525 178450.770676 178251.639009 178344.879299 
67108864 176112.910733 179677.609354 179166.419432 187332.179397 179640.190676 179437.089711 180434.271693 187370.780855 180447.090417 180433.109403 179132.150486 179199.339822 180508.319288 180460.229516 179053.710774 179075.479507 176060.449332 179674.841464 179455.161095 182931.961492 179509.870708 179616.319016 180276.570842 182715.279981 180378.988385 180458.130315 179142.810404 178965.128958 180327.059701 180411.830544 179179.219529 179183.868691 175820.469856 179438.309744 175898.589194 179228.648543 179342.320189 179316.319525 179307.300597 179285.969585 179206.009954 179315.049201 178945.889696 179000.740871 179319.290444 179068.529978 179147.029296 179000.070319 175985.669717 179279.260337 175898.401067 179390.020669 179398.579523 179365.620017 179061.111063 179335.020483 179406.691343 179345.330223 179067.548364 179112.151265 179387.830198 179241.610691 179092.960432 179252.639413 
67108864 176000.740379 179526.379332 179863.480851 183441.950008 179500.430822 179302.880540 180055.581033 183483.960107 179923.610762 179911.529645 178562.149405 178624.089807 179985.400289 179931.331426 178476.719186 178513.690829 175914.060324 179540.259764 180151.769891 183635.149151 179373.109713 179466.748610 179907.100275 183414.191008 179852.718487 179934.790358 178581.761196 178403.479978 179799.931124 179887.300357 178614.720702 178606.059402 174961.810932 178640.300408 176411.259919 179755.281657 178545.979783 178521.471098 179825.568572 179818.371311 178429.430351 178519.308567 178120.180964 181685.680524 178536.400199 178279.310465 181822.098792 181678.939611 175131.129101 178478.199989 176414.381713 179934.440181 178597.729653 178565.619513 179591.989145 179862.538353 178624.439985 178561.629727 178238.740191 181726.979092 178603.639826 178458.919749 181773.679331 181877.380237 
67108864 175181.869417 178743.489087 178447.689861 182036.519051 178703.639656 178520.109504 180232.530460 182074.818760 185730.470344 178678.570315 179949.469864 179985.769093 185771.780089 178709.739819 179870.169610 179893.860593 175117.140636 178739.128634 178738.379851 182229.690254 178588.809446 178682.491183 180078.661069 182000.789791 178618.760780 178711.120039 179960.109293 179801.970720 178577.318788 178672.390059 180003.399029 180008.890107 176810.650155 180474.920198 175204.571337 178507.741541 180378.800258 180380.640551 178597.358987 185612.849891 178510.818630 178623.478860 179747.648537 179816.899821 178620.589897 178367.989138 179964.400828 179820.260033 176966.929808 180323.569104 175183.320418 178691.120818 180428.229272 180399.360135 178373.290226 185686.340556 178723.648190 178649.950773 179880.879819 179860.780016 178684.180602 178520.360962 179920.030758 180004.380643 
67108864 174928.549677 178490.519524 179637.819529 188847.130165 178445.229307 178266.670555 183367.680758 183267.930523 181098.209694 181105.189025 179572.818801 179641.271010 181174.609810 178463.060409 179483.929649 179524.701089 174878.790975 178502.529860 178509.719670 189038.790762 178316.580132 178437.329829 179704.589769 183186.039329 181061.480194 178462.561220 179585.779086 179428.968579 178318.820894 178412.210196 179625.429213 179617.170244 176405.470818 180056.339130 174927.441403 178277.850151 179978.979751 179972.760379 178356.379271 181001.611054 178252.259269 178365.819156 179373.970255 179437.080398 178379.639983 178116.299212 179576.911032 179432.470351 176555.519924 179908.430204 174957.610667 181108.148769 180012.719706 179986.989126 180788.159370 181013.159454 178461.629897 178398.229182 179497.240111 179480.148479 178435.159847 178296.120837 179535.359144 179630.650207 
67108864 176301.481202 179877.849296 180475.329980 190965.510905 179834.710434 179654.080421 184202.009812 184095.969424 182770.989835 182800.378650 178922.250867 178955.379874 182872.949168 180163.500831 178829.589859 178865.220398 176255.920902 179872.430861 180616.309866 191152.971238 179718.380794 179800.128564 180558.711290 184025.138617 182726.809755 180159.250274 178934.808820 178757.630289 180018.780753 179802.039638 178967.669606 178970.510140 179033.830762 182732.831687 175669.489428 186040.291563 182617.491111 182620.441541 179243.380204 181893.050671 178993.580863 179071.510211 178732.151166 178790.040314 179089.978337 178843.459114 178928.490728 178779.151291 179205.838591 182567.529380 175850.769505 186223.128811 179158.318788 179142.288864 181666.791439 181895.850226 179191.470146 179125.720635 178860.118613 178831.450641 179158.320650 179005.479440 178872.751072 178955.851123 
