#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
8388608 18121.719360 18397.759646 18119.320273 18272.859976 18129.250035 18399.830908 18126.280978 18275.929615 18205.029890 18214.760348 18066.789955 18061.768264 18202.850595 18211.459741 18165.558577 18068.650737 18129.250035 18382.150680 18125.349656 18279.690295 18135.091290 18384.341151 18134.528771 18282.070756 18213.529140 18222.039565 18050.339073 18043.249846 18208.110705 18217.509612 18148.479983 18051.618710 16817.109659 18223.311752 18524.380401 18279.129639 16837.520525 18228.629604 18294.500187 18285.190687 18306.389451 18310.310319 18216.520548 18102.869391 18690.319732 18307.209015 18212.739378 18077.669665 16804.378480 18216.690049 18519.470468 18272.640184 16823.060811 18223.069608 18288.038671 18278.099597 18299.998716 18303.949386 18208.138645 18119.210377 18682.939932 18298.659474 18204.919994 18094.370142 
8388608 17120.741308 18391.240388 17943.140119 18151.249737 17128.380015 18398.988992 17948.320135 18156.429753 18187.420443 18309.859559 18067.400903 17578.808591 18182.069063 18215.000629 18157.700077 18059.311435 17125.928774 18378.069624 17933.988944 18158.139661 17137.041315 18383.979797 17937.380821 18163.520843 18193.710595 18291.490152 18051.519990 17562.421039 18188.619986 18205.910921 18142.029643 18047.159538 18184.710294 18193.399534 18260.840327 18168.780953 18196.929246 18197.709695 18174.970523 18176.190555 17149.360850 18286.079168 18199.421465 18281.199038 17057.010904 18282.590434 18198.139966 18257.491291 18178.680912 18187.299371 18274.141476 18179.720268 18190.689385 18192.429096 18185.090274 18185.969442 17142.409459 18280.120566 18193.840981 18296.729773 17047.759145 18276.290968 18192.861229 18272.750080 
8388608 18214.760348 18236.368895 17872.121185 17852.170393 18213.238567 18237.790093 17872.370780 17847.020179 17954.898998 17932.379618 18121.689558 18104.949966 17956.560478 17939.871177 18216.289580 18109.541386 18201.019615 18221.409991 17876.230180 17859.509215 18197.849393 18223.829567 17878.239974 17853.790894 17959.861085 17940.590158 18104.679883 18090.240657 17962.709069 17945.939675 18199.350685 18094.450235 18034.840003 18206.469715 18120.490015 17853.761092 18038.580194 18207.648769 17882.239074 17848.730087 18013.859168 18040.509894 18224.960193 18232.939765 17701.350152 18043.359742 18219.320104 18216.490746 18045.600504 18218.191341 18113.858998 17847.480252 18050.659448 18220.109865 17876.371741 17843.520269 18021.939322 18032.871187 18236.801028 18249.660730 17716.040835 18038.019538 18231.650814 18232.829869 
8388608 18096.489832 18117.189407 16835.350543 18233.450130 18099.211156 18123.269081 16850.439832 18237.510696 17994.901165 18335.919827 17991.799861 18006.529659 17999.690026 18155.669793 18090.538681 18017.258495 18084.671348 18102.210015 16844.740137 18238.220364 18083.879724 18108.170480 16861.939803 18243.540078 17984.200269 18319.990486 17975.850031 17990.840599 17988.290638 18144.279718 18074.760213 18001.420423 16816.809773 18150.269985 18072.301522 18307.670951 16834.279522 18160.808831 18079.200760 18309.209496 18068.490550 18165.899441 18161.689863 18170.729280 18067.689613 18156.589940 18151.190132 18149.239942 16819.240525 18160.250038 18066.449091 18301.200122 16840.258613 18172.869459 18074.110150 18303.409219 18079.441041 18175.859004 18174.501136 18185.021356 18077.040091 18167.959526 18160.689622 18164.269626 
8388608 16224.881634 17753.960565 16250.409186 16799.651086 16245.519742 17762.269825 16264.488921 16281.610355 16269.359738 17656.080425 16267.100349 16253.439710 16273.410991 17485.121265 16265.848652 16261.730343 16238.698736 17738.170922 16246.339306 16787.720844 16250.709072 17746.919766 16257.880256 16273.740679 16265.740618 17640.059814 16264.241189 16261.810437 16269.668937 17473.090440 16268.771142 16269.270331 17402.529716 17424.231395 16245.000064 16624.530777 17394.119874 17416.710034 16260.150820 16553.690657 17454.599962 16265.038401 17483.860254 16159.789637 17462.030053 16273.099929 17481.289804 16160.529107 17413.590103 17436.539754 16249.880195 16638.938338 17405.958846 17429.569736 16265.450045 16569.379717 17468.569800 16264.149919 17496.429384 16163.170338 17474.601045 16269.059852 17494.250089 16163.310036 
8388608 18095.038831 18127.750605 18031.490967 17572.920769 18097.659573 18124.949187 18034.720793 18055.949360 18137.250096 17959.710211 18115.969375 18127.819523 18141.670153 18130.630255 18118.739128 18128.611147 18103.150651 18135.879189 18038.639799 17579.840496 18103.819340 18131.349236 18039.679155 18061.550334 18143.460155 17966.449261 18124.138936 18136.288971 18147.340044 18136.279657 18124.990165 18138.209358 18198.510632 18223.850057 18200.838938 18147.589639 18200.850114 18219.940364 18203.269690 18065.581098 18193.719909 18217.969686 17953.170463 18116.740510 18197.830766 18220.338970 17959.838733 18118.688837 18192.559481 18218.150362 18196.729943 18139.738590 18195.759505 18214.389682 18197.879195 18057.849258 18187.621608 18213.050440 17947.690561 18108.751625 18192.259595 18215.030432 17954.640090 18111.050129 
8388608 18251.691014 18282.089382 18232.669681 17391.800880 18260.641024 18287.369981 18237.181008 18210.958689 18084.259704 18264.289945 18270.578235 18270.559609 18089.240417 18086.930737 18271.980807 17782.269046 18238.440156 18266.750500 18217.578530 17378.089949 18246.499822 18272.660673 18220.920116 18216.639757 18072.919920 18247.360364 18253.639340 18253.311515 18076.280132 18075.678498 18256.979063 17766.170204 18158.229068 18183.249980 17426.280305 17152.618617 18166.149035 18179.379404 16934.139654 17036.810517 18077.978864 18086.550757 17974.348739 16863.878816 18078.958616 18082.570285 17971.981317 16864.631325 18152.490258 18177.770078 17421.700060 17141.990364 18159.000203 18174.421042 16928.410158 17023.840919 18088.230863 18097.069114 17985.580489 16849.661246 18088.249490 18095.150590 17984.680831 16849.590465 
8388608 18163.129687 18175.980076 18159.810454 18193.610013 18162.928522 18186.319619 18151.780590 17999.220639 17998.009920 18183.700740 18170.949072 18138.529733 18005.950376 18012.790009 18176.609650 18138.749525 18151.869997 18161.159009 18145.890906 18179.019913 18147.701398 18171.900883 18135.458231 17988.460138 17988.570035 18168.039620 18155.580387 18123.440444 17995.111644 18001.278862 18159.350380 18124.010414 17959.620804 17982.019112 17965.098843 18177.499995 17951.389775 17976.079136 17956.539989 18171.820790 17823.589966 17345.691100 17792.390659 18004.979938 17835.138366 17529.899254 17805.090174 17989.860848 17968.820408 17993.438989 17973.570153 18191.991374 17963.780090 17988.950014 17969.420180 18187.031150 17833.350226 17356.760800 17805.058509 18019.299954 17845.239490 17544.860020 17814.669758 18005.289137 
8388608 18190.130591 18370.529637 18181.029707 18348.719925 18197.769299 18371.850252 18190.288916 18351.670355 18244.110048 17400.849611 18186.138943 18100.669608 17741.959542 17428.459600 18181.860447 18094.019964 18201.380968 18381.670117 18188.679591 18358.280882 18206.270412 18378.669396 18198.279664 18356.490880 18232.960254 17384.489998 18194.718286 18111.499026 17730.580643 17412.750050 18192.149699 18103.919923 18063.180149 18192.760646 18185.731024 18619.948998 18064.068630 18195.910379 18195.118755 18360.389397 18327.530473 18171.980977 18029.380590 17666.479573 18326.260149 17169.529572 18021.209165 17011.700198 18069.939688 18205.139786 18180.448562 18612.759188 18074.980006 18209.859729 18187.530339 18351.970240 18320.081756 18163.830042 18042.309210 17684.539780 18317.790702 17184.028402 18033.830449 17027.361318 
8388608 18477.220088 18514.670432 18510.820344 18480.230123 18475.249410 18497.860059 18503.639847 18306.240439 18327.970058 18507.350236 18490.780145 18499.929458 18332.641572 18337.629735 18488.369882 18494.959921 18464.278430 18499.128520 18496.209756 18465.690315 18460.819498 18483.068794 18488.310277 18294.449896 18317.880109 18491.350114 18474.331126 18485.091627 18321.929500 18327.210099 18472.330645 18479.609862 18327.420577 18315.099180 18323.510885 18456.129357 18324.160948 18312.849104 18323.989585 18475.849181 18166.910857 18185.928464 18170.820549 18356.190994 18173.310906 18345.430493 18166.149035 18335.709348 18336.871639 18326.209858 18333.140761 18475.010991 18334.750086 18324.049190 18334.880471 18490.539864 18176.401034 18196.750432 18182.069063 18370.179459 18183.918670 18362.309784 18177.440390 18350.640312 
