#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
8388608 33138.129860 33139.109612 33138.150349 33139.148727 33138.750121 33138.370141 33138.830215 33138.759434 33138.560131 33138.109371 33138.498664 33138.500527 33138.299361 33138.850704 33139.040694 33139.199018 33138.420433 33138.670027 33139.100298 33138.470724 33138.489351 33139.361069 33138.619736 33138.509840 33138.191327 33139.221370 33138.209954 33138.370141 33138.709143 33138.480037 33139.199018 33139.139414 33138.439059 33138.580620 33139.251173 33138.709143 33138.519153 33138.819039 33139.418811 33138.889819 33138.560131 33138.930798 33138.278872 33138.569444 33139.500767 33139.100298 33139.059320 33138.571307 33138.779923 33139.290288 33138.550818 33138.709143 33139.159903 33139.130101 33138.580620 33138.569444 33138.589934 33138.519153 33138.500527 33139.150590 33139.681444 33139.221370 33138.878644 33139.359206 
8388608 33079.789951 33080.190420 33079.419285 33080.440015 33080.060035 33079.979941 33080.250025 33080.330119 33079.920337 33080.069348 33080.469817 33079.700544 33079.499379 33080.969006 33080.460504 33080.549911 33079.668880 33079.849556 33080.730587 33079.510555 33079.721034 33080.609515 33080.300316 33079.290763 33079.840243 33080.430701 33079.450950 33079.540357 33080.719411 33080.490306 33080.469817 33080.488443 33079.858869 33079.680055 33080.799505 33079.661429 33079.899848 33080.760390 33080.250025 33079.490066 33079.920337 33080.590889 33079.640940 33079.290763 33080.579713 33080.279827 33080.330119 33079.540357 33080.028370 33081.119880 33079.680055 33079.590648 33080.689609 33080.399036 33080.089837 33079.888672 33080.769703 33079.929650 33079.719171 33080.540597 33081.369475 33080.808818 33080.609515 33080.449328 
8388608 33159.209415 33160.159364 33159.309998 33160.241321 33159.689978 33159.030601 33160.161227 33160.110936 33159.809187 33159.509301 33159.838989 33159.689978 33159.529790 33160.060644 33160.459250 33160.328865 33159.218729 33159.200102 33160.569146 33159.440383 33159.328625 33160.461113 33160.099760 33159.520477 33159.261569 33160.390332 33159.321174 33159.499988 33160.330728 33159.879968 33160.369843 33159.909770 33159.499988 33159.520477 33161.010593 33159.838989 33159.350976 33160.019666 33160.520718 33159.399405 33159.511164 33160.321414 33159.580082 33159.339800 33160.520718 33160.211518 33160.701394 33159.840852 33159.799874 33160.641789 33159.358427 33160.010353 33160.310239 33159.909770 33159.669489 33159.760758 33160.390332 33159.669489 33159.641549 33160.639927 33160.651103 33160.431311 33160.369843 33160.829917 
8388608 33206.949010 33207.830042 33207.381144 33208.539709 33207.779750 33207.170665 33208.129928 33208.379522 33207.420260 33207.278699 33207.969740 33207.740635 33207.120374 33207.880333 33208.470792 33208.329231 33207.111061 33207.319677 33208.720386 33207.621425 33207.029104 33207.969740 33208.651468 33207.740635 33207.250759 33208.129928 33207.241446 33207.600936 33207.809553 33207.889646 33208.448440 33208.068460 33207.459375 33207.440749 33208.528534 33207.910135 33207.239583 33207.898960 33208.930865 33207.939938 33207.660541 33207.800239 33207.520843 33207.120374 33207.869157 33207.830042 33208.198845 33207.789063 33207.530156 33208.139241 33207.541332 33207.399771 33208.020031 33208.290115 33208.020031 33207.621425 33207.669854 33207.019791 33207.528293 33208.491281 33208.200708 33207.990229 33208.230510 33208.409324 
8388608 33368.889242 33369.179815 33369.259909 33369.790763 33369.159326 33368.909732 33370.159566 33369.950950 33369.069919 33369.120210 33369.990066 33369.651064 33368.490636 33369.731158 33369.900659 33369.969577 33368.680626 33368.980512 33370.198682 33369.319513 33368.850127 33370.109275 33370.129764 33369.218931 33368.960023 33369.990066 33369.220793 33369.299024 33369.941637 33369.889483 33369.990066 33369.978890 33368.941396 33369.069919 33371.049911 33369.539306 33369.010314 33369.550481 33370.479941 33369.479701 33369.200304 33369.939774 33369.189128 33369.179815 33369.541168 33369.591460 33370.271325 33369.690180 33369.200304 33369.950950 33369.079232 33369.220793 33369.978890 33369.870856 33369.811252 33369.479701 33369.420096 33369.058743 33369.360492 33370.269462 33370.230347 33369.610086 33369.889483 33370.170742 
8388608 32209.929079 32211.048529 32210.219651 32211.059704 32210.299745 32210.530713 32211.270183 32211.150974 32210.299745 32210.029662 32210.899517 32210.560516 32210.089266 32211.119309 32211.249694 32211.588696 32210.061327 32210.219651 32211.899757 32210.819423 32210.040838 32211.430371 32211.281359 32210.759819 32210.290432 32210.789621 32210.189849 32210.119069 32210.920006 32211.069018 32211.199403 32211.098820 32210.381702 32210.340723 32212.069258 32210.931182 32210.150734 32211.080194 32211.869955 32211.050391 32210.210338 32211.270183 32210.551202 32210.368663 32211.070880 32211.070880 32211.419195 32210.730016 32210.258767 32211.590558 32210.629433 32210.459933 32210.990787 32211.219892 32210.789621 32210.601494 32211.029902 32210.230827 32210.800797 32211.340964 32211.340964 32211.149111 32211.320475 32211.590558 
8388608 33118.410036 33119.030297 33118.790016 33120.019361 33118.799329 33118.540421 33119.760454 33119.780943 33118.709922 33118.529245 33119.678497 33118.719235 33118.680120 33119.371161 33119.618893 33119.508997 33118.691295 33118.808642 33119.820058 33119.210973 33119.000494 33119.289204 33119.719476 33118.858933 33118.609339 33119.730651 33118.680120 33118.980005 33119.419590 33119.339496 33119.749278 33119.309694 33118.570223 33118.950203 33120.229840 33119.421452 33119.149506 33119.350672 33120.218664 33119.240776 33118.739724 33119.350672 33118.860796 33118.659630 33119.440079 33119.099215 33119.799569 33119.151369 33118.579537 33119.339496 33118.998632 33118.950203 33119.481057 33119.440079 33119.268715 33119.188622 33119.078726 33118.680120 33119.129017 33119.518310 33119.929954 33119.371161 33119.508997 33119.339496 
8388608 33216.441050 33217.459917 33216.349781 33217.540011 33216.619864 33216.251060 33217.269927 33217.258751 33216.509968 33216.550946 33217.240125 33216.759562 33216.521144 33217.389137 33217.519522 33217.411488 33216.580749 33216.709271 33217.299730 33216.780052 33216.370270 33217.219636 33217.361197 33216.649666 33216.388896 33217.189834 33216.608688 33216.830343 33217.210323 33217.160031 33217.079937 33217.221498 33216.580749 33216.470852 33218.091354 33216.809854 33216.780052 33217.079937 33217.199147 33216.869459 33217.089251 33217.320219 33216.221258 33216.590062 33217.269927 33217.409626 33217.571676 33216.999844 33216.729760 33217.580989 33216.580749 33217.100427 33217.139542 33216.981217 33216.560259 33216.889948 33217.120916 33216.230571 33216.821030 33217.439428 33217.879012 33217.301592 33217.478544 33217.849210 
8388608 33209.608868 33210.190013 33209.478483 33210.610971 33209.469169 33209.560439 33210.419118 33210.439608 33209.798858 33209.580928 33210.441470 33209.500834 33209.679648 33210.160211 33210.260794 33210.350201 33209.690824 33209.901303 33210.350201 33209.878951 33209.400252 33210.849389 33210.398629 33209.599555 33209.700137 33210.618421 33209.299669 33209.810033 33210.538328 33210.299909 33210.601658 33210.100606 33209.441230 33209.599555 33210.711554 33209.629357 33209.420741 33210.510388 33210.359514 33209.530637 33209.741116 33210.549504 33209.690824 33209.409565 33210.160211 33210.240304 33210.208640 33209.471032 33209.590241 33210.819587 33209.789544 33209.620044 33210.499212 33210.741356 33209.899440 33209.590241 33210.100606 33209.860325 33209.949732 33210.521564 33210.679889 33210.469410 33210.380003 33210.540190 
8388608 33080.510795 33081.140369 33080.529422 33081.268892 33081.039786 33080.499619 33080.900088 33081.630245 33080.969006 33080.359921 33080.989495 33080.769703 33080.529422 33081.199974 33081.170171 33081.680536 33080.371097 33080.130816 33081.598580 33080.719411 33080.320805 33081.369475 33081.229776 33080.499619 33080.540597 33081.321046 33080.428839 33080.698922 33081.730828 33081.220463 33081.019297 33081.211150 33080.490306 33080.529422 33082.159236 33081.039786 33080.829307 33081.090078 33081.481233 33080.760390 33080.659807 33081.499860 33080.501482 33080.609515 33081.348985 33081.160858 33081.360161 33080.611378 33080.630004 33081.158996 33080.838621 33080.920577 33081.579953 33081.060275 33080.499619 33080.721274 33081.591129 33080.920577 33080.549911 33081.730828 33082.069829 33081.319183 33081.749454 33081.809059 
8388608 33281.430602 33283.049241 33282.101154 33282.930031 33282.220364 33281.629905 33282.840624 33282.950521 33281.600103 33281.659707 33282.419667 33282.229677 33281.819895 33282.160759 33282.659948 33282.410353 33281.600103 33282.129094 33282.870427 33281.991258 33281.508833 33282.810822 33282.699063 33282.220364 33281.819895 33282.838762 33281.680197 33282.170072 33282.570541 33282.550052 33282.751217 33282.781020 33281.838521 33281.851560 33283.110708 33282.469958 33281.950280 33282.790333 33282.710239 33282.199875 33281.959593 33282.689750 33282.268792 33281.771466 33282.879740 33282.440156 33283.179626 33282.101154 33282.000571 33283.030614 33282.199875 33282.078803 33282.559365 33282.570541 33282.309771 33282.039687 33282.579854 33281.819895 33282.220364 33283.039927 33282.980323 33282.930031 33282.808959 33282.920718 
8388608 32949.639484 32950.440422 32949.879766 32951.358706 32949.959859 32949.710265 32950.310037 32950.790599 32949.550077 32949.740067 32950.419933 32949.859276 32949.680462 32950.369641 32950.568944 32950.449735 32949.531451 32949.600369 32950.758934 32949.918881 32949.570566 32950.460911 32950.431108 32949.980348 32949.710265 32950.580120 32949.620858 32949.769869 32950.520515 32950.589433 32950.438559 32950.200140 32949.740067 32949.671149 32950.969413 32950.360328 32950.060442 32950.481400 32950.880006 32949.948683 32950.259745 32950.811088 32949.719578 32950.170338 32950.859517 32950.239256 32951.099798 32949.859276 32949.991524 32950.589433 32950.021327 32950.120047 32950.321212 32950.589433 32949.881628 32949.879766 32950.218767 32950.170338 32949.719578 32950.829715 32951.159403 32950.431108 32950.909808 32950.699329 
8388608 33022.709191 33022.981137 33022.210002 33023.219556 33022.720367 33022.509888 33023.329452 33023.120835 33022.841439 33022.750169 33022.969961 33022.580668 33022.521064 33023.379743 33023.061231 33023.180440 33022.239804 33022.319898 33023.059368 33022.500575 33022.630960 33023.478463 33023.459837 33022.530377 33022.221178 33023.139462 33022.029325 33022.439107 33023.269847 33023.290336 33023.091033 33022.601157 33022.651449 33022.679389 33023.349941 33022.640273 33022.409305 33023.029566 33023.469150 33022.368327 33022.960648 33023.109660 33022.079617 33022.459596 33023.590222 33022.850752 33023.398370 33022.629097 33022.930846 33023.510128 33022.319898 33022.539690 33023.180440 33023.679629 33022.560179 33022.420481 33023.489639 33022.841439 33022.521064 33023.478463 33024.199307 33023.320138 33023.290336 33023.789525 
8388608 33187.059686 33188.099042 33186.949790 33188.320696 33187.640831 33187.299967 33187.879249 33188.238740 33187.150955 33186.959103 33187.869936 33187.650144 33186.810091 33187.901601 33188.249916 33188.009635 33187.150955 33187.050372 33188.261092 33187.231049 33187.340945 33187.858760 33187.938854 33187.249675 33187.070861 33188.039437 33186.960965 33187.339082 33187.760040 33187.691122 33188.249916 33188.188449 33186.951652 33187.080175 33188.119531 33187.499270 33187.299967 33187.599853 33188.430592 33187.609166 33187.439665 33187.611029 33186.890185 33187.299967 33187.698573 33187.700436 33188.059926 33187.281340 33187.270164 33188.020810 33187.380061 33187.249675 33188.080415 33187.840134 33187.730238 33187.618479 33188.069239 33187.199384 33187.920228 33188.099042 33188.531175 33187.950030 33187.590539 33188.048750 
8388608 33089.360222 33090.440556 33089.470118 33090.488985 33089.889213 33089.220524 33090.271056 33090.680838 33089.619130 33089.440316 33090.360463 33089.799806 33089.729026 33089.939505 33090.541139 33090.170473 33089.270815 33089.408651 33090.669662 33089.939505 33089.529723 33090.539277 33090.269193 33089.831471 33089.600503 33090.120181 33089.280128 33089.399338 33090.520650 33090.140671 33090.339974 33090.250567 33089.611679 33089.790493 33090.980724 33090.269193 33089.870587 33090.289682 33090.669662 33089.488745 33089.859411 33090.330660 33089.259639 33089.650795 33090.328798 33090.300858 33090.559766 33089.919016 33089.930192 33090.339974 33089.770004 33089.859411 33090.429381 33090.360463 33089.760691 33089.559525 33090.230078 33089.710400 33089.879900 33090.950921 33091.111109 33090.909943 33090.259880 33090.580255 
8388608 32670.779154 32671.488822 32670.950517 32671.799883 32670.879737 32670.509070 32671.470195 32671.740279 32670.721412 32670.149580 32671.310008 32670.810819 32670.520246 32671.220601 32671.200112 32671.518624 32670.630142 32670.641318 32671.799883 32671.019435 32670.820132 32671.649009 32671.669498 32670.879737 32670.680434 32671.371475 32670.609653 32670.939341 32671.431080 32671.300694 32671.149820 32671.689987 32670.699060 32670.689747 32672.479749 32670.941204 32670.469955 32671.058550 32671.920955 32671.010122 32670.920715 32671.660185 32670.600340 32671.200112 32671.488822 32670.980319 32671.559602 32671.110705 32670.900226 32671.719790 32670.859247 32671.280205 32671.300694 32671.449706 32670.939341 32671.218738 32671.499997 32670.859247 32670.829445 32671.788707 32672.099769 32671.079040 32671.639696 32671.831548 
