#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
1048576 15255.160630 15253.989026 15255.488455 15254.879370 15251.290053 15254.540369 15255.060047 15254.240483 15251.489356 15254.609287 15254.801139 15254.158527 15251.429752 15251.340345 15251.260251 15254.059806 15251.228586 15254.281461 15255.739912 15254.519880 15251.159668 15254.629776 15254.270285 15254.819766 15251.580626 15254.050493 15254.169703 15253.629535 15251.459554 15251.530334 15252.260491 15255.039558 15251.088887 15254.210681 15254.668891 15254.670754 15251.521021 15254.469588 15254.359692 15254.830942 15251.539648 15254.108235 15254.260972 15253.780410 15251.260251 15251.699835 15251.711011 15254.339203 15251.269564 15253.700316 15254.501253 15254.348516 15251.319855 15253.810212 15254.169703 15254.661441 15250.939876 15253.448859 15254.201367 15254.359692 15251.299366 15251.191333 15251.521021 15254.439786 
1048576 16176.799312 16176.190227 16176.849604 16176.149249 16172.640026 16175.989062 16176.300123 16176.020727 16172.220930 16175.728291 16176.018864 16176.160425 16172.010452 16172.420233 16172.679141 16176.421195 16172.548756 16176.680103 16177.680343 16176.361591 16172.518954 16175.448895 16175.901517 16176.380217 16172.669828 16175.130382 16175.970435 16176.020727 16172.440723 16172.589734 16173.159704 16176.469624 16172.461212 16176.259145 16176.151112 16176.259145 16172.640026 16175.659373 16175.629571 16176.821664 16172.790900 16175.400466 16176.268458 16175.771132 16172.699630 16172.109172 16172.738746 16176.510602 16171.980649 16175.210476 16175.830737 16175.769269 16172.040254 16175.771132 16175.830737 16176.410019 16172.118485 16175.579280 16176.450998 16176.169738 16172.129661 16172.299162 16172.649339 16176.018864 
1048576 15235.669911 15235.058963 15236.949548 15235.418454 15232.678503 15235.070139 15236.351639 15234.971419 15232.739970 15235.438943 15235.690400 15235.399827 15232.291073 15232.689679 15232.838690 15235.450119 15232.339501 15235.459432 15236.528590 15235.779807 15232.529491 15235.720202 15235.589817 15235.479921 15232.641250 15235.399827 15235.669911 15235.999599 15232.620761 15233.239159 15233.170241 15235.329047 15232.408419 15235.239640 15235.159546 15235.319734 15232.369304 15235.150233 15235.729516 15235.969797 15232.609585 15235.299245 15235.129744 15235.589817 15232.648700 15232.620761 15232.969075 15235.299245 15232.469887 15235.099941 15235.509723 15235.340223 15232.739970 15235.450119 15235.269442 15235.738829 15232.430771 15235.280618 15235.070139 15235.230327 15232.130885 15232.579783 15233.030543 15235.479921 
1048576 15261.361375 15260.620043 15261.599794 15260.981396 15257.399529 15260.091051 15260.390937 15260.851011 15257.541090 15260.769054 15260.370448 15260.700136 15257.470310 15257.488936 15257.650986 15260.459855 15257.641673 15260.851011 15261.340886 15260.880813 15257.829800 15260.189772 15260.549262 15260.851011 15257.630497 15260.400251 15260.489658 15260.599554 15257.770196 15257.669613 15258.120373 15260.590240 15257.390216 15260.189772 15260.569751 15260.798857 15257.440507 15260.249376 15260.338783 15260.379761 15257.220715 15260.180458 15260.649845 15260.519460 15257.399529 15257.151797 15258.211643 15260.230750 15257.708728 15260.448679 15260.679647 15260.109678 15257.250518 15259.688720 15260.150656 15260.649845 15257.330611 15260.331333 15260.199085 15260.379761 15257.729217 15257.259831 15257.690102 15260.849148 
1048576 15230.769292 15230.309218 15231.139958 15230.489895 15227.120370 15230.020508 15230.819583 15230.210498 15227.550641 15230.080113 15230.219811 15230.270103 15227.399766 15227.731317 15227.710828 15230.420977 15227.379277 15230.210498 15231.370926 15230.489895 15227.738768 15230.119228 15229.890123 15230.441466 15227.450058 15230.139717 15230.700374 15230.549499 15227.029100 15227.640048 15228.139237 15230.709687 15227.008611 15229.921788 15230.000019 15230.618417 15227.129683 15230.519697 15230.569988 15230.799094 15227.120370 15229.679644 15231.190249 15229.919925 15227.690339 15227.530152 15227.660537 15229.970217 15227.099881 15230.139717 15229.890123 15229.949728 15226.971358 15229.489654 15230.029821 15231.030062 15227.150172 15230.190009 15229.569748 15230.350196 15227.349475 15227.118507 15227.749944 15229.869634 
1048576 15247.769654 15247.540548 15248.740092 15247.810632 15244.871378 15247.659758 15247.929841 15247.659758 15244.800597 15247.510746 15247.758478 15248.129144 15244.729817 15244.551003 15245.111659 15247.449279 15244.890004 15248.289332 15249.259770 15247.959644 15244.841576 15247.788280 15247.469768 15248.600394 15244.910493 15247.359872 15247.719362 15248.030424 15244.919807 15245.079994 15245.011076 15247.840434 15244.860202 15247.229487 15247.819945 15248.170123 15244.919807 15247.698873 15247.670934 15248.131007 15244.759619 15247.309580 15248.710290 15247.700736 15244.958922 15244.798735 15245.379880 15247.650445 15244.510025 15247.490257 15247.270465 15247.540548 15244.590119 15247.309580 15247.289091 15247.790143 15244.349837 15246.979892 15247.570351 15247.378498 15244.359151 15244.908631 15245.029703 15246.979892 
1048576 15227.220953 15226.880088 15226.971358 15226.408839 15223.700553 15226.598829 15227.489173 15226.909891 15223.830938 15226.271003 15226.420015 15226.479620 15223.389491 15223.730356 15223.970637 15226.541087 15223.789960 15226.939693 15228.549019 15227.269381 15223.860741 15227.010474 15226.861462 15227.040276 15223.769471 15226.678923 15226.241201 15226.280317 15223.350376 15224.080533 15224.380419 15227.198601 15223.680064 15225.918964 15227.260068 15226.749703 15223.668888 15226.360410 15226.438642 15226.818621 15223.650262 15226.671472 15226.919204 15226.511285 15223.540366 15223.549679 15223.819762 15226.211399 15223.640949 15226.900578 15226.310119 15226.518735 15223.290771 15226.300806 15226.420015 15226.859599 15223.320574 15225.699171 15225.740150 15226.978809 15223.259106 15223.430470 15223.691240 15227.109194 
1048576 15257.220715 15257.060528 15257.898718 15256.740153 15254.048631 15257.049352 15257.291496 15256.719664 15254.000202 15256.810933 15257.610008 15257.090330 15253.819525 15253.890306 15254.180878 15256.639570 15254.160389 15257.369727 15258.999541 15257.399529 15254.089609 15257.028863 15256.850049 15257.650986 15253.830701 15257.079154 15257.300809 15257.110819 15254.119411 15254.069120 15254.501253 15257.040039 15254.119411 15257.019550 15257.049352 15257.179737 15253.849328 15257.081017 15257.069841 15257.369727 15254.149213 15256.719664 15256.999061 15257.060528 15254.080296 15254.199505 15254.599974 15256.840736 15253.519639 15257.060528 15256.930143 15256.948769 15253.821388 15256.090090 15256.660059 15257.159248 15253.720805 15256.850049 15256.550163 15256.769955 15253.560618 15253.888443 15254.460275 15256.509185 
1048576 15220.040455 15219.651163 15220.418572 15219.388530 15216.561034 15219.399706 15219.550580 15219.919384 15216.778964 15219.580382 15219.610184 15219.409019 15216.620639 15216.559172 15216.970816 15219.530091 15216.549858 15219.569206 15220.990404 15219.470486 15216.849744 15220.111236 15219.788998 15219.880268 15216.739848 15219.939873 15220.111236 15219.829977 15216.629952 15217.009932 15217.609704 15219.749883 15216.678381 15219.518915 15220.528468 15220.139176 15216.549858 15219.559893 15219.829977 15220.040455 15216.659755 15219.230205 15220.100060 15219.539404 15216.689557 15216.600150 15216.849744 15219.479799 15216.350555 15218.690038 15219.278634 15219.731256 15216.419473 15218.989924 15219.639987 15220.029280 15216.400847 15219.310299 15218.900517 15219.749883 15216.689557 15216.520056 15216.780826 15219.731256 
1048576 15262.350440 15262.091532 15262.840316 15261.569992 15258.859843 15261.709690 15262.190253 15261.989087 15259.141102 15261.828899 15261.940658 15261.840075 15258.509666 15258.850530 15259.219334 15261.620283 15258.850530 15261.419117 15263.078734 15261.689201 15259.059146 15262.430534 15261.800960 15262.790024 15259.049833 15261.799097 15262.270346 15262.169763 15258.969739 15258.740634 15259.470791 15262.020752 15258.900821 15261.380002 15262.160450 15262.199566 15259.008855 15261.730179 15262.069181 15262.290835 15259.109437 15261.858702 15262.009576 15261.659399 15258.779749 15258.930624 15259.400010 15261.739492 15258.749947 15261.650085 15262.080356 15261.709690 15258.630738 15261.210501 15261.940658 15261.739492 15258.491039 15261.830762 15261.549503 15262.100846 15258.679166 15258.589759 15259.278938 15262.540430 
1048576 15244.260430 15243.921429 15244.981274 15243.871137 15240.989625 15243.791044 15244.480222 15243.789181 15240.829438 15243.729576 15243.871137 15244.230628 15240.680426 15240.879729 15241.280198 15243.390575 15241.080895 15243.809670 15245.400369 15243.748203 15241.188928 15243.740752 15244.370326 15243.981034 15241.000801 15243.630856 15244.180337 15243.981034 15241.149813 15241.039917 15241.609886 15243.969858 15240.840614 15243.580565 15243.820846 15244.130045 15240.849927 15243.841335 15244.560316 15244.070441 15240.820125 15243.789181 15244.688839 15243.809670 15240.998939 15240.728855 15241.509303 15244.059265 15240.559354 15243.669972 15243.681148 15243.440866 15240.630135 15243.390575 15243.669972 15243.949369 15240.330249 15243.370086 15243.310481 15243.729576 15240.449458 15240.740031 15240.978450 15244.210139 
1048576 15219.800174 15219.390392 15220.258385 15220.440924 15216.980129 15219.930559 15220.219269 15219.941735 15216.870233 15219.530091 15219.930559 15219.410881 15216.531232 15216.670930 15216.890723 15219.440684 15216.659755 15219.699591 15221.249312 15219.651163 15216.931701 15219.630674 15220.241621 15219.969675 15216.849744 15219.479799 15220.118687 15219.768509 15216.670930 15216.819942 15217.481181 15219.749883 15216.840431 15219.889581 15219.990164 15220.031142 15216.859058 15219.788998 15219.859779 15219.928697 15216.881409 15219.651163 15220.168978 15219.658613 15216.810629 15216.719359 15217.499807 15219.420195 15216.549858 15219.399706 15219.939873 15219.800174 15216.570348 15218.680725 15219.619498 15220.120549 15216.359869 15219.109133 15219.669789 15219.671652 15216.421336 15216.911212 15217.209235 15218.669549 
1048576 15243.651345 15243.818983 15243.500471 15243.560076 15240.451321 15243.589878 15244.280919 15243.439004 15240.540728 15243.640170 15243.809670 15243.379399 15240.430832 15240.410343 15241.170302 15243.239701 15240.581706 15243.669972 15244.908631 15243.439004 15241.030604 15243.761241 15243.669972 15244.008973 15240.451321 15243.221074 15243.839473 15243.729576 15240.909532 15240.518376 15240.969136 15243.660659 15240.449458 15243.209898 15243.699774 15243.729576 15240.520239 15243.399888 15243.690461 15243.770555 15240.410343 15242.930502 15244.150534 15243.198723 15240.691602 15240.771696 15241.270885 15243.450180 15239.920467 15242.751688 15242.960304 15243.289992 15240.490437 15243.289992 15243.740752 15243.399888 15239.939094 15243.379399 15242.999420 15243.280679 15240.890905 15240.360051 15240.820125 15244.180337 
1048576 15241.790563 15241.410583 15242.090449 15240.829438 15238.219872 15240.838751 15241.879970 15241.298825 15238.158405 15240.980312 15240.861103 15240.959823 15238.130465 15237.899497 15238.249674 15240.980312 15238.599852 15240.630135 15242.420137 15242.090449 15238.668770 15241.561458 15241.269022 15241.818503 15238.249674 15241.110697 15240.879729 15240.911394 15238.480642 15238.670632 15239.000320 15241.989866 15238.188207 15241.319314 15241.600573 15241.719782 15238.201246 15241.080895 15241.550282 15241.868794 15238.068998 15241.058543 15241.758898 15241.330490 15238.100663 15238.480642 15238.689259 15241.101384 15238.059685 15241.080895 15240.978450 15241.090208 15237.899497 15240.259469 15240.978450 15241.639689 15238.128603 15240.719542 15241.010115 15240.909532 15237.951651 15238.149092 15238.789842 15241.609886 
