#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
1048576 1245.381311 1253.860071 1272.549853 1283.559948 1242.009923 1208.499074 1279.450953 1271.070912 1218.719408 1253.219321 1278.169453 1283.010468 1251.220703 1252.941787 1238.290220 1285.519451 1247.260720 1222.660765 1285.079867 1266.360283 1234.410331 1250.889152 1267.449930 1286.208630 1255.400479 1258.239150 1273.440197 1279.059798 1240.709797 1255.469397 1251.809299 1263.320446 1261.640340 1252.658665 1265.591010 1273.350790 1257.359982 1232.950017 1272.950321 1285.949722 1263.121143 1258.440316 1305.809245 1275.580376 1268.321648 1257.600263 1300.780103 1291.979104 1260.928810 1253.049821 1265.380532 1255.249605 1265.060157 1247.581095 1263.538375 1268.118620 1261.979342 1266.749576 1269.681379 1290.190965 1263.869926 1255.018637 1267.829910 1276.349649 
1048576 1015.480608 1024.240628 1045.469195 1059.290022 1031.989232 1032.229513 1050.300896 1062.130556 1026.909798 1026.719809 1042.149961 1036.019996 1024.499536 1024.970785 1037.329435 1040.149480 1016.130671 1023.249701 1027.461141 1036.798581 1022.009179 1017.900184 1030.728221 1038.759947 1037.430018 1028.690487 1044.340432 1044.640318 1026.850194 1026.310027 1043.500379 1046.229154 1033.920795 1020.450145 1004.021615 1022.459939 1040.410250 1023.361459 1009.870321 1026.479527 1041.630283 1023.171470 1024.968922 1030.499116 1038.789749 1020.349562 1015.370712 1023.819670 1032.600179 1020.621508 1003.859565 1021.159813 1038.689166 1021.651551 1008.098945 1027.978957 1040.481031 1020.560041 1029.301435 1034.568995 1036.450267 1015.849411 1027.479768 1032.499596 
1048576 1011.429355 1030.769199 1026.678830 1027.680933 1012.491062 1036.308706 1041.701064 1038.620248 1071.501523 1075.370237 1063.089818 1066.910103 1071.311533 1071.050763 1058.170572 1061.480492 1004.919410 1030.180603 1030.439511 1033.760607 1005.290076 1037.329435 1043.379307 1045.681536 1074.409112 1076.100394 1064.170152 1068.620011 1073.209569 1071.108505 1059.250906 1064.330339 1011.019573 1000.849530 1062.789932 1065.511256 1018.259674 1002.889127 1068.159938 1068.849117 1060.469076 1059.230417 1089.120284 1083.571464 1056.490466 1054.340973 1086.629927 1084.569842 1010.620967 998.670235 1061.610878 1064.639539 1016.929746 1002.209261 1067.059115 1069.350168 1059.399918 1058.321446 1086.931676 1082.530245 1053.869724 1054.679975 1085.620373 1083.269715 
1048576 1799.929887 1799.799502 1801.079139 1806.570217 1802.429557 1799.041405 1802.500337 1806.560904 1810.349524 1811.729744 1827.109605 1841.820776 1810.248941 1809.628680 1816.119999 1837.888733 1798.780635 1798.329875 1791.950315 1799.318939 1800.239086 1798.680052 1794.109121 1797.549427 1813.780516 1809.619367 1824.781299 1841.140911 1811.189577 1808.559522 1820.769161 1836.398616 1797.979698 1805.961132 1797.270030 1802.688465 1805.290580 1803.150401 1799.169928 1804.661006 1807.279885 1803.800464 1802.019775 1809.868962 1811.129972 1808.660105 1808.039844 1806.590706 1804.780215 1804.588363 1788.331196 1789.350063 1808.119938 1804.929227 1791.259274 1790.570095 1805.581152 1804.819331 1817.500219 1816.891134 1813.860610 1811.349764 1821.219921 1804.549247 
1048576 1112.621278 1108.121127 1048.540697 1056.749374 1118.270680 1115.160063 1043.699682 1050.719991 1045.441255 1059.779897 1063.020900 1072.939485 1051.628962 1055.870205 1063.449308 1072.589308 1112.861559 1108.819619 1047.961414 1050.731167 1119.270921 1118.820161 1049.248502 1052.459702 1048.469916 1060.921699 1060.890034 1070.739701 1048.170030 1057.339832 1058.759168 1071.920618 1098.010689 1079.630107 1074.559987 1076.608896 1105.709001 1084.649935 1075.299457 1076.729968 1061.270013 1066.410914 1077.590510 1074.329019 1056.401059 1061.029732 1076.659188 1074.099913 1089.861616 1077.748835 1080.380753 1077.050343 1103.930175 1083.109528 1080.410555 1079.101115 1059.910282 1065.360382 1083.601266 1078.980044 1055.030152 1062.391326 1084.230840 1081.099734 
1048576 987.380743 1003.138721 1000.080258 1005.280763 992.089510 1005.480066 1007.979736 1005.079597 994.080678 996.800140 1002.138481 986.440107 1000.668854 1000.439748 998.549163 996.990129 988.610089 1001.050696 998.480245 1003.250480 990.988687 1001.991332 1007.499173 1002.689824 1010.259613 1012.789086 1001.069322 1001.939178 1007.739455 1010.639593 998.210162 1000.691205 1017.179340 1019.669697 1022.519544 1002.039760 1006.029546 1006.560400 1028.198749 1012.699679 1013.388857 1006.288454 1015.471295 1015.000045 1017.140225 1015.121117 1007.961109 995.380804 1013.580710 1018.280163 1024.140045 994.499773 1006.228849 1007.409766 1030.031592 1010.349020 1014.251262 1007.659361 1015.119255 1003.159210 1017.918810 1012.219116 996.490940 991.970301 
1048576 1026.440412 1021.670178 999.039039 1002.289355 1024.859026 1018.250361 1006.890088 996.170565 1008.760184 1000.689343 992.808491 1005.729660 1015.618443 1004.111022 1001.641154 1009.861007 1024.169847 1020.299271 999.780372 1000.830904 1023.160294 1017.820090 1007.260755 995.449722 1008.240506 998.008996 1024.378464 1027.500257 1013.299450 1002.119854 1021.180302 1026.339829 1032.680273 1008.059829 1025.959849 1028.601080 1031.361520 1005.889848 1027.468592 1030.080020 1035.450026 1037.189737 1020.200551 1022.530720 1038.981602 1039.469615 1010.730863 1015.869901 1034.131274 1009.641215 991.869718 1015.810296 1033.369452 1006.100327 992.799178 1020.738855 1037.750393 1038.540155 1019.118354 1027.530059 1040.110365 1041.660085 1014.450565 1021.189615 
1048576 1023.849472 993.849710 984.579325 997.170806 1029.970124 997.008756 988.788903 998.251140 1006.890088 1015.009359 1017.568633 1030.668616 1003.690064 1010.129228 1013.919711 1028.118655 1024.479046 995.529816 971.728936 997.601077 1031.540334 1000.430435 979.000703 999.499112 1009.639353 1016.180962 1018.799841 1031.789929 1004.919410 1012.079418 1014.709473 1029.709354 1024.549827 1025.609672 991.940498 984.808430 1032.309607 1031.640917 1005.060971 992.920250 1037.139446 1017.000526 1020.830125 1035.049558 1030.789688 1020.289958 1016.380265 1029.940322 1023.801044 1024.730504 994.490460 995.609909 1030.130312 1029.480249 1005.599275 1002.948731 1036.779955 1014.180481 1019.131392 1032.520086 1028.280705 1016.888767 1016.119495 1029.670238 
1048576 1013.468951 1016.249880 998.361036 1000.670716 1013.161615 1013.498753 991.581008 989.589840 996.090472 1002.520323 985.229388 993.240625 1001.611352 1005.610451 985.700637 990.699977 1011.021435 1015.229151 996.660441 997.228548 1010.779291 1014.210284 992.538407 981.520861 996.310264 1000.059769 987.410545 986.188650 999.219716 1005.418599 980.820507 990.469009 995.829701 996.859744 1005.869359 1006.370410 1007.460058 1010.119915 984.860584 983.368605 1031.490043 1036.779955 1015.858725 996.509567 1011.349261 1012.589782 1023.041084 996.239483 997.370109 991.031528 1010.660082 1009.371132 1010.939479 1011.990011 988.729298 989.150256 1036.271453 1041.930169 1017.000526 1009.440050 1013.930887 1016.458496 1022.459939 1010.039821 
1048576 1016.281545 1008.210704 1008.508727 1010.429114 1022.890210 1011.850312 1014.869660 1008.180901 1010.309905 1004.420221 985.220075 1003.270969 1008.380204 1002.790406 977.359712 1011.751592 1016.059890 1009.680331 1009.549946 1010.779291 1024.691388 1015.560701 1016.398892 1009.499654 1017.540693 1012.699679 985.160470 1004.369929 1014.988869 1010.861248 980.660319 1013.088971 1029.299572 1005.979255 1045.171171 1051.031053 1040.529460 1011.610031 1052.109525 1054.530963 1011.230052 1013.549045 989.031047 996.099785 1006.599516 1011.669636 988.708809 999.700278 1028.560102 1005.150378 1045.560464 1048.889011 1038.670540 1009.948552 1050.651073 1055.220142 1006.830484 1008.210704 986.430794 992.879272 1005.489379 1012.889668 989.338383 997.779891 
