Libswing called. Environment:
------------------------------------
LIBSWING_ALGO: 0
LIBSWING_SEGMENT_SIZE: 0
LIBSWING_DIMENSIONS: 64
------------------------------------
#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
67108864 138832.760975 138833.628967 138832.259923 138831.429183 138833.390549 138833.688572 138833.530247 138832.621276 138833.161443 138833.301142 138832.630590 138831.619173 138831.270859 138831.891119 138832.410797 138832.129538 138831.438497 138833.420351 138832.440600 138833.299279 138833.191246 138832.980767 138833.679259 138834.429905 138830.509037 138830.518350 138830.918819 138831.840828 138832.781464 138832.040131 138832.150027 138832.539320 138829.911128 138831.371441 138829.929754 138830.779120 138832.449913 138831.390068 138831.561431 138830.881566 138831.090182 138830.030337 138830.389827 138831.479475 138830.579817 138827.310875 138827.949762 138828.950003 138831.250370 138829.588890 138829.309493 138831.110671 138832.390308 138832.770288 138830.879703 138830.341399 138828.428462 138828.849420 138827.359304 138829.819858 138830.170035 138827.390969 138827.199116 138828.080148 
67108864 139613.348991 139614.220709 139613.609761 139611.881226 139612.969011 139613.119885 139612.870291 139613.039792 139613.099396 139613.179490 139612.460509 139611.789957 139612.849802 139612.158760 139613.151550 139613.090083 139612.760395 139613.159001 139612.570405 139613.209292 139612.529427 139611.979946 139612.099156 139613.069594 139609.269798 139610.160142 139610.089362 139611.970633 139613.319188 139613.399282 139612.749219 139614.181593 139610.419050 139610.849321 139609.789476 139610.419050 139611.780643 139611.180872 139610.920101 139610.629529 139611.370862 139610.650018 139610.949904 139612.041414 139609.990641 139608.539641 139607.790858 139609.640464 139611.348510 139609.610662 139610.270038 139611.089602 139612.389728 139611.680061 139610.379934 139611.009508 139608.599246 139608.940110 139607.651159 139609.500766 139610.070735 139607.990161 139607.051387 139608.651400 
67108864 136058.621109 136056.929827 136055.530980 136054.050177 136058.591306 136056.799442 136055.650190 136053.079739 136058.701202 136056.059971 136054.739356 136052.949354 136057.050899 136054.841802 136054.230854 136053.331196 136061.290279 136058.529839 136057.309806 136055.059731 136058.209464 136053.839698 136054.309085 136054.608971 136056.320742 136054.329574 136054.040864 136054.670438 136057.641357 136054.249480 136054.290459 136053.981259 136056.330055 136055.560783 136054.480448 136053.780094 136058.479548 136053.679511 136053.899303 136052.340269 136058.030650 136053.970084 136052.940041 136053.759605 136055.620387 136052.358896 136052.468792 136052.429676 136056.549847 136054.139584 136053.729802 136053.359136 136056.181043 136054.920033 136053.429917 136051.960289 136055.881158 136054.839939 136053.940281 136053.470895 136057.069525 136053.448543 136053.029448 136051.520705 
67108864 140901.479870 140899.948776 140897.909179 140896.189958 140901.239589 140900.570899 140897.449106 140895.150602 140900.928527 140898.549929 140897.169709 140894.470736 140899.989754 140897.629783 140896.588564 140894.958749 140903.219581 140901.129693 140898.289159 140897.050500 140900.628641 140898.698941 140896.389261 140897.098929 140897.510573 140896.281227 140896.091238 140896.530822 140898.060054 140896.501020 140896.620229 140896.480531 140899.309888 140897.709876 140896.391124 140895.929188 140899.630263 140897.650272 140896.100551 140893.848613 140899.779275 140896.609053 140894.791111 140895.370394 140898.650512 140894.990414 140895.159915 140895.109624 140898.499638 140896.109864 140895.970166 140895.500779 140897.979960 140897.441655 140895.359218 140893.591568 140898.048878 140896.830708 140896.810219 140895.720571 140899.039805 140896.089375 140895.640478 140894.271433 
67108864 141847.020015 141844.939440 141843.749210 141841.549426 141846.489161 141844.831407 141843.279824 141841.379926 141846.921295 141844.190657 141842.531040 141840.448603 141845.699400 141842.901707 141842.180863 141841.489822 141847.070307 141844.829544 141844.060272 141843.020916 141845.669597 141843.479127 141842.210665 141842.700541 141843.730584 141841.631383 141842.348501 141842.240468 141844.220459 141841.728240 141842.609271 141841.810197 141844.110563 141842.769459 141841.160133 141841.169447 141845.129430 141842.359677 141841.160133 141840.070486 141845.479608 141842.769459 141840.780154 141841.020435 141843.939200 141840.390861 141841.080040 141840.569675 141844.989732 141841.359437 141841.450706 141841.540113 141843.929887 141842.639074 141840.819269 141839.878634 141843.488440 141842.309386 141841.141507 141840.919852 141845.269129 141841.469333 141841.359437 141839.850694 
67108864 132730.739191 132730.709389 132730.400190 132729.141042 132726.229727 132725.780830 132725.810632 132724.370807 132725.140080 132725.719362 132724.950090 132724.719122 132723.800838 132724.370807 132724.629715 132724.730298 132729.738951 132730.441168 132729.949430 132729.820907 132725.089788 132724.009454 132724.530995 132726.250216 132721.900940 132722.219452 132721.999660 132724.421099 132724.789903 132724.029943 132724.359632 132725.929841 132722.940296 132723.068818 132721.850649 132722.930983 132724.830881 132722.938433 132723.180577 132723.109797 132723.880932 132722.459733 132721.878588 132723.931223 132723.050192 132719.861344 132720.509544 132721.919566 132723.350078 132721.589878 132721.509784 132723.018527 132724.609226 132723.640651 132723.201066 132723.359391 132720.539346 132721.260190 132719.879970 132722.111419 132722.070441 132720.550522 132720.028982 132721.010596 
67108864 130200.630054 130197.290331 130197.091028 130194.880068 130200.298503 130197.320133 130196.649581 130193.779245 130199.698731 130196.198821 130196.249112 130194.071680 130198.039114 130194.621161 130194.980651 130194.189027 130201.131105 130197.910592 130198.119208 130196.020007 130199.320614 130194.999278 130195.191130 130195.299163 130196.630955 130195.491016 130195.420235 130195.830017 130197.141320 130195.450038 130195.280537 130195.029080 130198.199302 130196.981132 130194.960162 130194.339901 130198.551342 130194.781348 130194.509402 130192.998797 130198.581144 130194.939673 130194.511265 130194.639787 130196.088925 130193.218589 130193.369463 130193.030462 130197.759718 130195.548758 130194.921046 130195.049569 130196.429789 130196.148530 130194.701254 130192.890763 130196.759477 130195.999518 130195.470527 130194.511265 130197.620019 130194.380879 130194.058642 130192.289129 
67108864 137426.789850 137424.180284 137423.090637 137420.769781 137425.899506 137424.979359 137422.559783 137420.339510 137425.510213 137423.090637 137421.870604 137419.968843 137424.379587 137421.349064 137421.490625 137420.020998 137426.700443 137423.809618 137423.099950 137421.429157 137425.448745 137422.449887 137420.838699 137421.991676 137422.950938 137421.619147 137421.730906 137422.719970 137422.999367 137421.160936 137421.440333 137421.170250 137423.919514 137422.479689 137421.291322 137420.630082 137424.999848 137422.138825 137421.010062 137419.778854 137424.981222 137421.591207 137420.359999 137420.490384 137422.310188 137418.920174 137419.389561 137419.059873 137423.848733 137421.639636 137420.751154 137421.261519 137423.539534 137422.829866 137420.440093 137419.179082 137423.390523 137421.809137 137421.229854 137420.341372 137424.001470 137420.959771 137421.119958 137418.800965 
67108864 140868.328512 140868.930146 140867.859125 140866.119415 140868.179500 140868.781134 140867.888927 140866.670758 140868.499875 140867.790207 140867.490321 140866.760164 140866.570175 140866.069123 140866.130590 140866.739675 140867.048874 140867.531300 140866.460279 140868.199989 140867.529437 140867.000446 140865.309164 140866.789967 140864.590183 140865.620226 140865.178779 140867.289156 140866.780654 140866.030008 140866.629779 140867.518261 140865.439549 140865.800902 140864.619985 140865.029767 140866.599977 140865.210444 140865.510330 140865.139663 140865.569934 140864.729881 140864.720568 140865.821391 140865.668654 140862.679109 140863.189474 140864.659101 140866.810456 140864.830464 140864.519402 140865.828842 140867.080539 140866.780654 140865.849331 140865.391120 140863.219276 140863.411129 140861.850232 140863.969922 140865.279362 140862.720087 140862.459317 140863.049775 
67108864 141419.960186 141418.710351 141416.478902 141414.750367 141420.159489 141418.399289 141416.069120 141414.290294 141419.449821 141417.250037 141416.070983 141414.459795 141418.540850 141416.450962 141415.350139 141414.459795 141421.020031 141418.339685 141417.428851 141416.048631 141419.189051 141417.419538 141415.039077 141416.309401 141416.819766 141415.229067 141415.599734 141415.389255 141417.870298 141414.999962 141415.350139 141415.251419 141416.829079 141415.940598 141414.931044 141414.741054 141417.609528 141415.409744 141414.981335 141413.480043 141418.479383 141416.080296 141414.178535 141414.999962 141417.561099 141413.830221 141414.379701 141414.098442 141417.538747 141415.171325 141415.249556 141414.700076 141417.099163 141416.089609 141414.649785 141413.740814 141416.529194 141416.139901 141415.080056 141414.681450 141418.140382 141414.878890 141414.219514 141412.930563 
