Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 928 us | Start: 1725472008176578 End: 1725472008177506
Timer [== swing_coll_step_utofu (indexes calc)]: 44 us | Start: 1725472008177506 End: 1725472008177550
Timer [== swing_coll_step_utofu (misc)]: 18 us | Start: 1725472008177550 End: 1725472008177568
Timer [== swing_coll_step_utofu (sends)]: 47 us | Start: 1725472008177568 End: 1725472008177615
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 58 us | Start: 1725472008177615 End: 1725472008177673
Timer [== swing_coll_step_utofu (recv + aggregate)]: 3646 us | Start: 1725472008177673 End: 1725472008181319
Timer [== swing_coll_step_utofu (wait isends)]: 21 us | Start: 1725472008181319 End: 1725472008181340
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008181340 End: 1725472008181344
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1436 us | Start: 1725472008176676 End: 1725472008178112
Timer [== swing_coll_step_utofu (indexes calc)]: 22 us | Start: 1725472008178112 End: 1725472008178134
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008178134 End: 1725472008178140
Timer [== swing_coll_step_utofu (sends)]: 13 us | Start: 1725472008178140 End: 1725472008178153
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 17 us | Start: 1725472008178153 End: 1725472008178170
Timer [== swing_coll_step_utofu (recv + aggregate)]: 3653 us | Start: 1725472008178170 End: 1725472008181823
Timer [== swing_coll_step_utofu (wait isends)]: 12 us | Start: 1725472008181823 End: 1725472008181835
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008181835 End: 1725472008181839
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1269 us | Start: 1725472008176668 End: 1725472008177937
Timer [== swing_coll_step_utofu (indexes calc)]: 41 us | Start: 1725472008177937 End: 1725472008177978
Timer [== swing_coll_step_utofu (misc)]: 23 us | Start: 1725472008177978 End: 1725472008178001
Timer [== swing_coll_step_utofu (sends)]: 24 us | Start: 1725472008178001 End: 1725472008178025
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 42 us | Start: 1725472008178025 End: 1725472008178067
Timer [== swing_coll_step_utofu (recv + aggregate)]: 5455 us | Start: 1725472008178067 End: 1725472008183522
Timer [== swing_coll_step_utofu (wait isends)]: 10 us | Start: 1725472008183522 End: 1725472008183532
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008183532 End: 1725472008183536
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1323 us | Start: 1725472008176684 End: 1725472008178007
Timer [== swing_coll_step_utofu (indexes calc)]: 19 us | Start: 1725472008178007 End: 1725472008178026
Timer [== swing_coll_step_utofu (misc)]: 12 us | Start: 1725472008178026 End: 1725472008178038
Timer [== swing_coll_step_utofu (sends)]: 18 us | Start: 1725472008178038 End: 1725472008178056
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 54 us | Start: 1725472008178056 End: 1725472008178110
Timer [== swing_coll_step_utofu (recv + aggregate)]: 5423 us | Start: 1725472008178110 End: 1725472008183533
Timer [== swing_coll_step_utofu (wait isends)]: 10 us | Start: 1725472008183533 End: 1725472008183543
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008183543 End: 1725472008183547
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1369 us | Start: 1725472008176721 End: 1725472008178090
Timer [== swing_coll_step_utofu (indexes calc)]: 34 us | Start: 1725472008178090 End: 1725472008178124
Timer [== swing_coll_step_utofu (misc)]: 7 us | Start: 1725472008178124 End: 1725472008178131
Timer [== swing_coll_step_utofu (sends)]: 13 us | Start: 1725472008178131 End: 1725472008178144
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 18 us | Start: 1725472008178144 End: 1725472008178162
Timer [== swing_coll_step_utofu (recv + aggregate)]: 5396 us | Start: 1725472008178162 End: 1725472008183558
Timer [== swing_coll_step_utofu (wait isends)]: 10 us | Start: 1725472008183558 End: 1725472008183568
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008183568 End: 1725472008183572
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1305 us | Start: 1725472008176674 End: 1725472008177979
Timer [== swing_coll_step_utofu (indexes calc)]: 29 us | Start: 1725472008177979 End: 1725472008178008
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008178008 End: 1725472008178014
Timer [== swing_coll_step_utofu (sends)]: 19 us | Start: 1725472008178014 End: 1725472008178033
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 64 us | Start: 1725472008178033 End: 1725472008178097
Timer [== swing_coll_step_utofu (recv + aggregate)]: 5484 us | Start: 1725472008178097 End: 1725472008183581
Timer [== swing_coll_step_utofu (wait isends)]: 9 us | Start: 1725472008183581 End: 1725472008183590
Timer [== swing_coll_step_utofu (profile writing)]: 5 us | Start: 1725472008183590 End: 1725472008183595
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183604 End: 1725472008183605
Timer [== swing_coll_step_utofu (indexes calc)]: 21 us | Start: 1725472008183605 End: 1725472008183626
Timer [== swing_coll_step_utofu (misc)]: 18 us | Start: 1725472008183626 End: 1725472008183644
Timer [== swing_coll_step_utofu (sends)]: 12 us | Start: 1725472008183644 End: 1725472008183656
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 28 us | Start: 1725472008183656 End: 1725472008183684
Timer [== swing_coll_step_utofu (recv + aggregate)]: 1683 us | Start: 1725472008183684 End: 1725472008185367
Timer [== swing_coll_step_utofu (wait isends)]: 49 us | Start: 1725472008185367 End: 1725472008185416
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008185416 End: 1725472008185420
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183628 End: 1725472008183629
Timer [== swing_coll_step_utofu (indexes calc)]: 19 us | Start: 1725472008183629 End: 1725472008183648
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008183648 End: 1725472008183654
Timer [== swing_coll_step_utofu (sends)]: 16 us | Start: 1725472008183654 End: 1725472008183670
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 18 us | Start: 1725472008183670 End: 1725472008183688
Timer [== swing_coll_step_utofu (recv + aggregate)]: 1867 us | Start: 1725472008183688 End: 1725472008185555
Timer [== swing_coll_step_utofu (wait isends)]: 8 us | Start: 1725472008185555 End: 1725472008185563
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008185563 End: 1725472008185566
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183563 End: 1725472008183564
