#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
131072 704.349950 704.258680 704.100356 704.409555 704.100356 704.390928 704.539940 704.869628 704.409555 704.029575 704.240054 704.379752 704.560429 704.079866 704.739243 704.038888 704.009086 703.979284 704.159960 704.139471 704.159960 703.999773 704.590231 704.061240 704.521313 703.951344 704.079866 704.199076 703.988597 704.469159 704.521313 704.448670 704.459846 704.379752 704.251230 704.510137 704.469159 704.038888 703.828409 704.310834 703.869388 704.210252 704.018399 704.439357 704.310834 704.089180 703.969970 704.320148 704.320148 704.560429 704.370439 704.629347 704.510137 704.009086 704.580918 704.361126 704.649836 704.349950 704.120845 704.361126 704.670325 704.111531 704.390928 704.690814 
131072 704.010949 704.150647 703.400001 703.919679 704.290345 703.640282 703.819096 703.779981 703.651458 704.240054 704.279169 703.770667 703.889877 704.199076 703.569502 703.969970 704.178587 703.889877 703.828409 703.800470 703.930855 704.219565 703.891739 703.608617 703.530386 704.299659 703.381374 703.370199 704.159960 703.550875 703.869388 703.750178 703.740865 703.459606 703.528523 703.779981 703.560188 703.910366 703.349710 703.200698 703.429803 703.679398 703.521073 703.820959 704.171136 703.869388 703.819096 703.431666 704.001635 704.279169 703.761354 704.040751 704.329461 703.711063 703.500584 703.869388 703.789294 703.649595 703.880563 704.219565 703.930855 704.031438 703.649595 703.770667 
131072 702.019781 702.369958 701.880082 702.301040 701.859593 702.099875 701.839104 702.308491 701.939687 701.969489 702.220947 702.019781 702.250749 701.909885 701.708719 702.088699 702.159479 702.559948 701.950863 702.109188 701.840967 702.479854 701.969489 701.861456 701.870769 701.840967 701.731071 702.049583 702.429563 702.358782 702.001154 701.809302 702.189282 702.440739 701.921061 701.868907 701.950863 702.008605 702.070072 701.790676 702.060759 702.001154 701.909885 701.699406 702.701509 701.690093 701.609999 702.209771 702.099875 702.619553 701.729208 702.079386 702.260062 702.019781 701.760873 701.760873 702.198595 701.751560 701.569021 701.930374 702.099875 702.019781 701.909885 702.369958 
131072 706.169754 706.270337 706.009567 706.668943 706.110150 706.160441 706.588849 706.870109 706.559047 706.391409 706.249848 706.641003 706.270337 706.359744 706.318766 706.428662 706.279650 706.110150 705.869868 706.121325 706.410035 706.540421 706.400722 706.229359 706.421211 706.419349 706.059858 706.288964 706.249848 706.300139 706.300139 706.490129 705.929473 706.048682 705.789775 706.110150 706.100836 706.410035 706.158578 706.149265 705.989078 706.460327 706.098974 706.020743 706.579536 706.059858 706.220046 705.849379 706.309453 706.639141 705.890357 706.620514 706.469640 706.139952 706.268474 706.499442 706.940889 706.000254 705.970451 706.581399 706.281513 706.329942 706.650317 706.648454 
131072 701.740384 702.040270 701.708719 701.749697 701.980665 702.170655 701.870769 701.900572 702.310354 701.470301 701.939687 701.179728 701.738521 702.179968 702.001154 701.669604 701.829791 702.330843 701.770186 701.550394 702.248886 702.429563 701.921061 701.900572 702.191144 702.250749 701.790676 701.580197 701.909885 701.811165 701.410696 701.449811 701.928511 701.630488 701.500103 702.088699 701.708719 702.120364 701.859593 701.729208 701.740384 702.321529 701.179728 701.490790 702.168792 701.891258 701.498240 701.609999 701.930374 702.118501 701.669604 701.960176 702.541322 702.060759 701.300800 702.049583 701.960176 701.520592 701.209530 701.779500 702.399760 701.971352 701.660290 701.891258 
131072 704.880804 705.000013 704.869628 704.880804 704.899430 705.100596 705.190003 704.890117 704.631209 704.571605 705.020502 704.450533 705.059618 705.068931 704.810023 704.828650 705.160201 705.359504 704.839826 704.549253 705.128536 705.180690 705.149025 705.221668 704.890117 705.340877 704.489648 704.711303 705.009326 704.910606 704.819337 704.759732 705.190003 704.901293 705.149025 705.070794 705.460086 705.219805 705.000013 704.409555 704.718754 704.990700 704.459846 704.819337 705.519691 704.931095 704.500824 704.530627 704.960898 705.471262 704.638660 704.789534 705.691054 705.180690 704.679638 704.558566 704.931095 705.210492 704.659149 704.851002 705.210492 705.409795 704.830512 704.709440 
131072 707.020983 707.481056 706.968829 707.380474 707.449391 707.129017 707.270578 707.570463 707.238913 707.149506 707.369298 707.240775 707.549974 707.590953 706.950203 707.469881 707.300380 707.380474 707.099214 707.160681 707.050785 707.039610 707.460567 707.199797 707.130879 706.989318 707.069412 707.119703 707.009807 707.129017 707.300380 707.419589 707.240775 706.899911 707.320869 707.380474 707.149506 707.169995 707.069412 706.909224 707.110390 707.298517 707.099214 706.991181 707.359985 706.689432 707.220286 707.499683 707.508996 707.410276 707.019120 707.570463 707.169995 707.231462 707.009807 707.019120 707.330182 707.050785 707.140192 707.279891 707.529485 707.499683 707.210973 707.399100 
131072 704.379752 704.780221 704.400241 704.720616 704.910606 704.970211 704.510137 704.530627 704.560429 704.700127 704.940408 704.299659 704.839826 704.718754 705.020502 704.729930 704.638660 704.629347 704.510137 704.450533 705.089420 704.869628 704.610720 704.329461 704.498962 704.459846 704.258680 704.379752 704.789534 704.560429 704.338774 704.590231 704.478472 704.480335 704.379752 704.530627 704.819337 705.070794 704.690814 704.178587 704.249367 704.819337 704.439357 703.999773 704.940408 704.679638 704.130158 704.308972 704.679638 704.769045 704.409555 704.390928 704.979524 704.638660 704.230741 704.519451 704.469159 704.629347 704.549253 704.279169 704.821199 705.068931 704.949722 704.770908 
131072 703.779981 704.009086 703.629106 703.981146 703.779981 703.740865 703.949481 703.988597 703.770667 703.690574 704.379752 703.839585 703.619793 704.159960 703.899190 703.990459 703.779981 703.578815 703.940168 703.670084 703.930855 703.798607 703.640282 703.820959 703.789294 703.599304 703.739002 704.079866 704.150647 703.800470 703.638420 704.150647 703.681260 703.439116 703.711063 703.871250 703.809783 703.530386 703.530386 704.020262 703.919679 703.580678 703.809783 703.869388 704.091042 703.219324 704.050064 703.729689 703.949481 704.219565 703.739002 704.068691 704.159960 703.690574 703.580678 703.649595 704.249367 703.690574 703.779981 703.999773 704.091042 703.759491 703.858212 704.079866 
131072 706.629828 706.821680 706.410035 706.750900 706.870109 706.989318 706.650317 706.618652 706.739724 706.709921 706.728548 706.151128 706.499442 706.840307 706.098974 706.641003 706.980005 706.799328 706.661493 706.320629 706.801191 706.920400 706.220046 706.600025 706.829131 706.830993 706.460327 706.570223 707.020983 706.849620 706.290826 706.760213 706.600025 707.009807 706.788152 706.460327 706.730410 706.881285 706.629828 706.860796 706.760213 706.730410 706.270337 706.540421 706.588849 706.540421 706.538558 706.629828 706.579536 707.259402 706.249848 706.261024 707.350671 706.661493 706.249848 706.430525 706.959516 706.698745 706.361607 706.570223 706.858933 706.830993 706.339255 706.890598 
