#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
131072 710.010529 710.278749 704.459846 704.798847 751.499087 752.480701 752.890483 751.610845 753.069296 751.659274 750.301406 748.990104 748.848543 747.179613 743.879005 742.940232 742.800534 742.148608 739.339739 738.410279 737.629831 736.709684 735.700130 734.720379 734.260306 733.051449 732.010230 730.989501 730.749220 729.769468 726.459548 725.260004 724.960119 723.520294 721.568242 719.441101 719.450414 717.399642 716.449693 715.909526 714.460388 713.039190 711.441040 707.980245 708.561391 706.570223 705.679879 704.720616 706.369057 702.209771 700.978562 700.229779 701.690093 700.689852 699.410215 699.080527 705.109909 703.928992 703.630969 704.020262 706.790015 705.979764 705.478713 709.390268 
131072 797.661021 797.081739 795.200467 793.900341 793.840736 793.039799 792.490318 791.409984 791.080296 790.929422 787.809491 785.868615 785.309821 783.540308 781.809911 780.669972 779.628754 779.170543 777.849928 776.860863 776.980072 777.099282 776.130706 774.819404 775.080174 774.359331 772.699714 771.669671 770.810992 769.561157 767.720863 766.318291 762.781128 761.458650 759.400427 758.361071 753.929839 752.890483 751.860440 748.328865 748.328865 745.240599 742.129982 740.189105 739.609823 739.188865 736.819580 730.590895 729.169697 725.949183 724.470243 720.789656 794.710591 795.559958 795.470551 795.900822 801.909715 801.710412 800.471753 800.900161 800.199807 799.831003 798.411667 798.041001 
131072 760.629773 760.311261 758.849084 758.789480 758.411363 756.869093 755.151734 753.989443 754.728913 752.091408 751.629472 750.049949 748.589635 747.889280 743.210316 743.020326 741.180032 740.040094 738.870353 737.899914 738.920644 734.860078 730.739906 729.359686 728.309155 725.349411 722.801313 721.661374 721.339136 719.418749 717.090443 716.459006 713.560730 708.339736 705.000013 702.321529 702.479854 699.030235 697.771087 696.569681 698.139891 697.189942 696.200877 695.399940 700.660050 701.490790 698.979944 697.890297 699.559227 699.739903 699.238852 698.760152 702.060759 701.328740 700.740144 700.019300 700.360164 699.410215 696.359202 696.750358 759.059563 761.369243 762.660056 759.880990 
131072 709.509477 709.051266 707.490370 706.009567 766.729936 767.258927 769.961625 769.529492 771.220773 770.779327 769.861042 769.359991 769.669190 768.801197 766.590238 765.860081 764.420256 761.790201 760.229304 759.050250 759.519637 758.579001 756.449997 755.140558 755.090266 753.900036 751.730055 750.521198 749.031082 748.431310 746.339560 744.748861 744.180754 742.599368 740.500167 738.840550 738.961622 736.661255 734.578818 731.550157 728.409737 727.530569 724.870712 721.510500 721.838325 719.429925 718.750060 716.999173 715.071335 714.309514 713.020563 710.248947 710.811466 710.090622 709.099695 708.021224 707.680359 706.760213 705.709681 704.949722 708.080828 706.959516 706.128776 709.099695 
131072 716.550276 715.238973 710.019842 707.590953 772.489235 778.699294 779.241323 779.729337 781.210139 780.250877 776.570290 774.359331 776.369125 775.629655 774.448738 773.210078 772.360712 770.390034 769.060105 768.000260 767.588615 766.629353 762.330368 762.179494 763.529912 759.650022 756.859779 755.690038 756.090507 755.039975 751.269981 750.519335 751.459971 749.340281 743.750483 742.390752 743.988901 742.608681 741.420314 740.839168 740.509480 738.671049 735.798851 734.271482 734.770671 732.779503 730.719417 729.771331 728.949904 728.709623 724.539161 722.499564 722.859055 721.501186 720.869750 720.160082 721.961260 720.379874 719.239935 718.550757 718.438998 717.960298 716.108829 715.309754 
131072 734.191388 733.820722 731.559470 727.999955 769.810751 771.459192 771.550462 772.099942 773.379579 773.299485 772.431493 770.960003 770.250335 768.579543 766.130164 764.571130 763.159245 759.489834 757.358968 756.861642 756.470487 755.520537 754.259527 753.970817 753.510743 752.521679 751.160085 748.198479 748.829916 747.079030 744.858757 741.239637 741.600990 741.129741 738.298520 736.279413 736.629590 735.580921 734.619796 733.550638 733.589754 732.650980 731.619075 729.691237 729.650259 728.430226 726.761296 724.811107 722.069293 721.259043 719.700009 719.070435 717.429444 717.010349 716.270879 715.419650 715.000555 714.110211 732.868910 734.400004 736.409798 735.929236 734.878704 734.390691 
131072 704.718754 702.599064 701.569021 699.641183 759.350136 760.199502 760.531053 760.629773 762.850046 762.520358 762.520358 761.481002 761.900097 760.849565 760.300085 759.171322 758.320093 756.878406 755.270943 754.229724 754.728913 754.849985 753.199682 752.089545 750.230625 748.340040 747.449696 746.158883 745.369121 744.139776 742.450356 741.541386 740.649179 737.549737 734.999776 733.999535 734.729692 734.088942 730.309635 729.039311 729.510561 727.901235 726.219267 724.779442 724.060461 722.000375 720.050186 718.530267 717.129558 714.419410 711.949542 710.420310 710.589811 709.719956 705.849379 704.539940 704.981387 703.079626 702.958554 701.420009 701.989979 702.029094 701.319426 703.109428 
131072 706.460327 705.638900 704.050064 702.179968 763.369724 766.320154 767.499208 767.780468 769.549981 769.481063 768.959522 768.119469 768.089667 766.729936 764.980912 763.829798 761.589035 761.199743 760.000199 758.849084 758.798793 758.459792 756.690279 753.991306 751.860440 749.839470 748.131424 745.479017 743.489712 742.629170 741.450116 740.738586 741.340220 740.610063 735.830516 735.329464 732.859597 730.311498 728.009269 726.660714 726.869330 725.729391 724.790618 723.909587 723.531470 721.391290 719.649717 716.868788 715.751201 715.769827 714.339316 711.400062 710.109249 708.449632 706.659630 705.691054 706.428662 706.249848 704.590231 704.159960 705.990940 705.050305 703.619793 706.361607 
131072 703.589991 702.818856 701.999292 701.239333 761.359930 762.140378 763.650984 763.919204 765.679404 765.249133 764.310360 762.589276 763.710588 762.330368 759.350136 758.910552 756.358728 755.868852 754.561275 753.549859 752.819702 752.281398 747.639686 746.909529 746.930018 746.330246 743.919984 741.509721 741.560012 739.939511 738.520175 737.730414 737.659633 736.799091 733.138993 731.758773 731.298700 730.209053 728.430226 725.179911 726.191327 723.129138 719.500706 717.729330 718.630850 716.131181 714.769587 713.650137 712.869689 711.901113 710.388646 708.250329 709.719956 704.718754 701.069832 700.328499 703.539699 702.090561 701.380894 700.030476 701.488927 701.220706 701.930374 702.301040 
131072 702.701509 702.049583 699.881464 698.760152 754.298642 755.850226 757.850707 758.809969 758.869573 758.800656 757.070258 757.139176 758.120790 756.921247 753.259286 751.931220 751.150772 749.770552 748.321414 747.401267 744.050369 742.439181 741.219148 740.259886 741.610304 740.770251 738.618895 737.249851 736.869872 735.070556 733.079389 731.030479 729.590654 728.290528 725.848600 725.129619 725.379214 723.619014 722.808763 720.839947 720.940530 719.239935 716.321170 715.158880 714.180991 712.329522 710.990280 707.939267 708.280131 707.698986 706.030056 704.349950 702.960417 701.159239 699.941069 699.300319 701.960176 701.369718 699.320808 699.430704 700.339675 699.270517 698.650256 701.459125 
131072 701.731071 701.120123 698.849559 698.309392 762.820244 765.699893 766.299665 767.109916 768.089667 766.750425 766.199082 764.969736 765.550882 764.328986 760.950148 759.130344 758.718699 757.830217 756.559893 756.809488 755.999237 754.529610 753.369182 752.000138 751.221552 748.129562 746.048987 745.799392 744.679943 744.199380 740.120187 739.339739 739.721581 737.519935 735.620037 733.299181 733.589754 729.000196 728.029758 727.349892 725.621358 722.799450 721.380115 718.550757 719.480217 716.350973 715.039670 713.590533 712.500885 711.090863 709.990039 709.520653 708.419830 707.469881 706.801191 706.199557 705.659389 703.630969 701.360404 699.840486 701.040030 700.280070 699.110329 701.120123 
131072 762.870535 761.188567 759.890303 757.640228 757.308677 751.789659 750.239938 746.810809 748.060644 746.961683 745.391473 743.810087 742.940232 741.859898 739.760697 736.840069 736.130401 735.711306 732.380897 731.021166 724.900514 724.149868 721.599907 721.059740 720.670447 717.680901 716.660172 715.930015 714.909285 714.089721 710.960478 709.509477 707.080588 706.460327 703.999773 702.468678 706.680119 705.668703 704.329461 703.811646 704.789534 703.079626 701.980665 701.408833 707.089901 705.789775 704.430044 704.549253 703.059137 702.479854 700.989738 700.071454 701.110810 700.080767 700.009987 697.379932 757.200643 758.551061 758.830458 759.650022 762.959942 762.710348 762.879848 761.929899 
131072 705.469400 705.149025 703.891739 703.370199 749.310479 750.849023 750.610605 749.019906 751.150772 749.850646 749.409199 747.229904 746.980309 745.769590 743.741170 742.670149 742.578879 740.069896 738.220289 737.881288 736.661255 735.370442 734.079629 729.819760 727.910548 727.450475 726.180151 724.310055 725.939870 723.779202 722.480938 722.249970 720.459968 719.849020 716.110691 714.950264 719.949603 720.519572 718.031079 716.809183 718.399882 716.840848 715.229660 714.149326 714.499503 712.919980 711.139292 709.010288 709.740445 708.561391 706.998631 705.469400 706.451014 705.631450 704.798847 703.400001 705.869868 704.331324 703.569502 702.619553 704.629347 704.178587 703.521073 704.851002 
131072 720.560551 716.390088 714.449212 713.581219 772.319734 774.720684 774.798915 775.679946 777.019188 776.350498 776.959583 775.918365 776.249915 775.920227 773.441046 772.278756 771.868974 770.449638 768.609345 766.750425 766.700134 765.979290 764.479861 764.129683 762.499869 761.369243 758.759677 758.521259 757.079571 756.200403 755.211338 753.989443 752.700493 752.270222 751.739368 748.628750 750.141218 749.399886 747.490674 746.529549 746.220350 744.178891 742.470846 741.509721 739.939511 738.508999 736.618415 733.390450 732.081011 732.259825 730.760396 730.480999 730.758533 729.570165 728.791580 727.539882 727.748498 727.159902 725.639984 724.520534 724.500045 723.700970 722.488388 720.588490 
131072 702.990219 702.289864 701.071694 700.511038 731.220469 732.429326 732.399523 730.060041 732.129440 731.900334 730.238855 725.429505 725.198537 724.259764 721.499324 720.590353 719.631091 719.560310 718.081370 716.740265 717.930496 717.500225 716.781244 715.859234 715.279952 712.718815 711.450353 711.150467 710.340217 706.911087 705.739483 704.551116 706.030056 705.849379 705.400482 704.661012 705.750659 705.279410 704.139471 702.830032 702.660531 701.479614 700.300559 698.838383 697.920099 696.709380 695.429742 695.209950 695.161521 696.089119 694.639981 694.260001 693.820417 692.490488 692.579895 691.140071 699.279830 699.819997 698.219985 696.681440 697.711483 697.480515 696.729869 702.010468 
131072 698.501244 697.340816 695.969909 694.749877 748.308375 750.999898 751.810148 752.201304 754.039735 754.410401 753.570348 752.499327 751.940534 750.819221 748.639926 747.440383 747.570768 746.630132 745.370984 744.070858 744.139776 743.428245 741.539523 740.520656 740.170479 736.059621 734.429806 733.191147 733.369961 732.161105 731.330365 730.140135 728.039071 727.260485 725.898892 724.120066 723.170117 721.000135 719.308853 718.209893 717.150047 715.490431 714.199618 711.848959 709.841028 709.610060 708.499923 706.899911 707.600266 707.099214 705.661252 704.849139 704.390928 703.679398 703.198835 702.429563 702.219084 701.909885 700.330362 698.629767 699.710101 699.369237 698.870048 697.320327 
131072 702.109188 700.609758 698.279589 697.160140 753.559172 755.891204 756.470487 756.930560 758.500770 758.059323 757.029280 757.379457 756.878406 756.289810 754.069537 752.599910 752.341002 750.750303 747.840852 746.360049 746.579841 744.560733 743.290409 738.730654 738.490373 737.519935 735.661015 732.650980 734.768808 733.429566 731.600448 730.600208 730.220228 728.590414 725.429505 722.508878 723.790377 723.140314 718.189403 717.150047 718.411058 716.451555 713.819638 712.759793 711.921602 710.070133 708.639622 706.059858 706.359744 705.590472 704.240054 700.499862 700.900331 700.669363 699.270517 698.210672 702.209771 700.810924 699.641183 698.799267 700.099394 699.730590 698.300079 701.330602 
131072 704.869628 703.921542 702.019781 700.330362 768.261030 769.939274 770.689920 772.230327 773.850828 773.159787 772.729516 772.859901 773.470849 773.230568 770.280138 769.788399 767.970458 766.610727 764.220953 763.580203 760.879368 760.430470 758.951530 757.370144 757.740811 753.490254 750.409439 749.930739 750.659034 750.159845 749.129802 748.740509 746.080652 744.920224 743.210316 741.789117 740.839168 736.949965 735.849142 735.020265 733.628869 732.239336 730.551779 728.920102 727.500767 725.999475 724.289566 722.110271 719.919801 718.800351 717.060640 716.220587 716.710463 715.371221 712.180510 710.349530 711.001456 710.789114 708.309934 707.490370 708.170235 707.039610 706.449151 705.789775 
131072 706.430525 705.759972 705.558807 704.919919 730.359927 731.138512 731.129199 729.329884 730.678439 729.359686 730.240718 728.780404 727.860257 727.860257 724.960119 723.680481 723.389909 722.430646 721.398741 721.510500 720.700249 719.530508 718.770549 717.690215 718.079507 716.960058 714.249909 712.629408 714.110211 712.519512 712.329522 711.038709 710.928813 709.239393 707.309693 706.389546 705.769286 705.130398 704.400241 701.449811 702.090561 700.719655 698.640943 697.789714 697.990879 697.059557 695.779920 694.399700 695.610419 694.399700 693.790615 693.570822 694.340095 693.880022 692.229718 690.691173 705.989078 706.680119 705.650076 702.150166 704.409555 703.610480 703.990459 704.159960 
131072 724.699348 723.501667 721.549615 721.041113 773.519278 776.750967 776.728615 776.549801 777.291134 777.820125 776.639208 776.439905 775.000080 774.171203 772.830099 771.990046 769.998878 768.398866 767.810270 766.359270 765.560195 764.489174 763.630494 762.380660 762.950629 762.481242 761.749223 760.389492 759.851187 758.130103 758.569688 756.951049 756.399706 756.669790 756.600872 754.950568 752.750784 752.460212 751.450658 749.990344 749.479979 747.900456 747.140497 745.970756 746.328384 744.808465 743.249431 742.029399 740.420073 737.760216 735.480338 732.399523 717.351213 724.280253 725.589693 724.360347 727.979466 727.150589 726.221129 725.170597 725.939870 725.399703 724.598765 724.598765 
131072 707.710162 706.801191 702.409074 701.399520 768.078491 769.069418 768.821687 769.419596 772.111118 771.699473 771.250576 769.890845 769.849867 769.320875 767.679885 766.279176 765.779987 764.410943 761.860982 758.020207 758.148730 756.680965 755.470246 753.819942 753.929839 753.169879 752.039254 750.530511 750.269741 748.490915 742.729753 743.079931 743.269920 742.129982 739.779323 738.641247 738.751143 736.650079 734.960660 734.038651 735.141337 732.459128 730.520114 729.169697 728.260726 727.001578 723.239034 721.840188 721.599907 720.789656 719.521195 719.459727 720.819458 719.750300 718.299299 715.538859 716.239214 714.059919 711.970031 710.740685 710.830092 709.669665 708.799809 707.190484 
131072 700.069591 699.270517 697.148964 697.549433 756.360590 758.441165 759.370625 759.471208 759.519637 760.089606 758.659095 759.180635 758.079812 758.331269 756.449997 755.660236 753.831118 753.089786 751.510262 750.338659 749.010593 745.810568 744.890422 744.808465 743.091106 741.541386 740.159303 739.140436 735.139474 734.889880 734.120607 732.859597 732.110813 728.230923 727.999955 726.340339 726.319849 725.388527 723.309815 722.609460 720.670447 719.498843 715.879723 714.790076 710.749999 709.990039 706.970692 704.478472 704.031438 703.768805 702.781603 702.159479 703.370199 702.990219 701.639801 701.259822 702.138990 702.090561 700.099394 700.689852 701.449811 701.261684 700.179487 700.760633 
131072 701.600686 701.891258 700.749457 700.758770 752.501190 755.809247 756.260008 756.429508 758.439302 757.729635 758.521259 757.100061 756.489113 755.660236 754.041597 752.661377 752.480701 751.448795 748.969615 748.090446 748.580322 747.900456 745.030120 743.638724 744.739547 741.720200 737.490132 734.118745 736.160204 735.959038 732.559711 731.699169 731.509179 730.359927 727.828592 726.589933 726.569444 726.390630 724.850222 724.159181 722.980127 721.840188 718.180090 715.108588 715.140253 713.501126 708.959997 708.350912 708.349049 706.888735 705.350190 704.940408 705.158338 704.299659 703.329220 701.710582 702.308491 701.110810 700.859353 699.609518 699.870288 699.508935 698.011369 699.469820 
131072 699.110329 698.920339 697.551295 696.780160 726.459548 727.439299 728.311017 727.949664 727.700070 725.610182 724.839047 723.611563 733.390450 733.209774 732.868910 733.019784 730.769709 730.808824 730.048865 728.860497 726.940110 725.859776 724.999234 723.479316 723.719597 722.950324 721.728429 720.329583 719.990581 719.919801 718.900934 718.148425 717.461109 715.360045 714.279711 713.130459 713.199377 712.739304 711.530447 710.008666 709.138811 707.950443 706.540421 705.510378 705.409795 704.798847 704.010949 702.669844 702.960417 703.239813 701.880082 700.859353 700.669363 700.429082 699.039549 699.030235 698.911026 698.449090 697.780401 696.510077 697.940588 697.370619 696.860254 698.670745 
131072 708.809122 706.670806 702.001154 701.200217 770.829618 772.498548 773.299485 771.800056 774.269924 773.580745 773.090869 772.239640 774.011016 773.370266 772.640109 771.110877 771.239400 770.140439 768.559054 767.629594 768.259168 767.309219 764.129683 763.328746 763.690099 761.130825 759.229064 756.260008 756.850466 755.960122 750.940293 748.990104 750.400126 749.019906 746.348873 744.510442 744.460151 742.010772 737.311319 736.640766 737.689435 736.840069 733.248889 731.840730 732.058659 729.180872 727.919862 726.429746 725.949183 724.339858 721.249729 719.139352 719.320029 716.179609 713.899732 712.309033 712.540001 711.178407 708.179548 707.289204 708.630309 708.149746 706.980005 707.469881 
131072 694.969669 695.129856 693.200156 693.179667 750.171021 752.540305 753.300264 754.350796 754.231587 754.380599 754.639506 753.089786 753.650442 753.680244 750.990584 750.189647 747.019425 746.000558 744.810328 744.609162 744.208694 743.560493 740.688294 739.559531 738.020986 736.739486 735.221431 734.809786 732.770190 731.769949 730.039552 729.620457 724.229962 723.350793 721.851364 720.789656 720.940530 720.469281 718.660653 717.759132 717.109069 716.481358 714.989379 712.851062 711.940229 710.720196 709.298998 708.051026 708.129257 708.218664 706.188381 705.460086 706.220046 704.629347 701.051205 700.179487 700.740144 698.810443 697.689131 697.109848 697.780401 696.729869 695.109367 694.969669 
131072 706.110150 704.759732 700.559467 699.130818 768.451020 769.520178 770.149752 770.151615 773.560256 773.251057 773.280859 771.639869 771.550462 771.230087 770.619139 769.678503 767.769292 767.279416 764.390454 763.220713 762.879848 760.789961 759.258866 755.529851 755.928457 755.511224 752.579421 751.059502 750.789419 748.129562 747.039914 746.419653 746.188685 744.409859 740.369782 740.028918 738.678500 737.700611 733.889639 731.870532 731.170177 730.080530 725.768507 724.399462 724.319369 723.360106 722.680241 720.689073 720.530748 719.929114 716.509297 714.519992 714.039430 712.569803 710.811466 709.839165 709.809363 707.810745 707.460567 706.119463 706.769526 706.391409 706.790015 705.489889 
