#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
16384 382.950529 382.101163 381.339341 380.679965 386.320055 385.550782 384.889543 383.779407 385.509804 384.569168 383.889303 383.270904 388.370827 388.000160 386.519358 385.528430 386.480242 385.290012 384.898856 384.150073 384.571031 384.019688 382.781029 381.261110 382.930040 381.868333 381.089747 380.439684 384.729356 383.840874 382.399186 381.581485 382.721424 381.950289 380.750746 379.959121 380.819663 380.350277 378.429890 378.018245 380.920246 380.219892 379.620120 378.310680 389.130786 388.240442 386.970118 385.839492 385.759398 385.461375 384.351239 384.440646 384.788960 383.820385 382.309780 381.710008 382.130966 381.371006 380.421057 379.810110 384.910032 384.181738 383.591279 382.291153 
16384 369.919464 369.209796 368.859619 368.349254 374.861062 374.250114 373.680145 373.229384 375.779346 375.570729 375.170261 374.259427 377.880409 377.390534 376.909971 376.090407 376.939774 376.390293 376.110896 375.570729 377.058983 376.010314 375.511125 375.390053 375.960022 375.479460 374.309719 374.089926 375.108793 374.719501 373.288989 372.720882 373.538584 373.318791 372.199342 370.988622 372.258946 371.199101 371.189788 369.820744 371.009111 369.820744 368.990004 369.280577 374.540687 373.480842 373.080373 372.901559 373.000279 372.610986 371.409580 371.560454 372.789800 372.419134 371.608883 371.599570 372.510403 371.629372 371.020287 370.418653 371.599570 370.331109 370.709226 369.470567 
16384 381.700695 381.238759 380.128622 379.430130 388.171524 387.620181 387.080014 385.779887 386.539847 385.560095 384.800136 384.179875 390.131027 389.710069 388.460234 387.661159 387.970358 387.530774 385.779887 385.319814 385.519117 384.969637 383.999199 383.069739 383.321196 382.859260 381.710008 381.341204 383.639708 382.659957 381.290913 380.590558 383.200124 381.840393 381.100923 380.549580 381.020829 380.430371 378.919765 378.280878 378.889963 377.589837 376.630574 375.380740 389.490277 388.631597 387.178734 386.439264 387.139618 385.669991 385.059044 383.811072 388.089567 387.148932 386.290252 385.669991 386.068597 385.269523 384.310260 383.909792 384.239480 383.300707 382.700935 381.410122 
16384 374.989584 374.499708 374.110416 373.378396 375.349075 374.680385 374.499708 374.630094 374.808908 374.428928 373.490155 373.840332 377.560034 377.560034 376.569107 376.120210 376.470387 376.299024 376.271084 375.548378 376.090407 375.680625 375.010073 374.499708 375.179574 374.790281 374.240801 373.819843 374.689698 374.238938 373.098999 372.679904 374.490395 373.590738 372.730196 372.830778 372.879207 371.970236 371.320173 370.720401 371.189788 370.569527 370.431691 370.079651 376.839191 376.038253 375.529751 374.861062 376.060605 375.580043 374.630094 373.719260 378.848985 377.779827 377.791002 376.340002 376.889482 376.429409 375.980511 375.229865 376.360491 376.340002 374.909490 373.870134 
16384 381.009653 379.810110 377.500430 376.939774 385.079533 384.088606 383.509323 382.561237 383.649021 382.700935 382.060185 381.059945 387.879089 387.329608 385.969877 385.610387 386.500731 386.120752 385.200605 383.410603 384.889543 384.209678 382.630154 382.479280 382.820144 381.730497 379.988924 380.160287 383.980572 383.110717 382.089987 381.000340 382.289290 381.799415 380.400568 379.750505 380.050391 379.240140 378.528610 377.651304 377.738848 377.280638 376.340002 374.540687 386.681408 385.519117 384.589657 384.429470 385.100022 384.530053 383.591279 381.140038 385.800377 384.619460 383.248553 383.019447 383.500010 382.799655 381.888822 380.851328 382.369384 381.600112 380.668789 379.839912 
16384 373.760238 373.769552 373.139977 372.149050 375.270844 374.758616 375.319272 374.849886 375.440344 374.550000 374.939293 373.350456 379.579142 378.020108 377.869233 377.209857 377.889723 377.429649 376.930460 376.639888 378.120691 377.800316 376.239419 376.250595 375.770032 376.159325 375.920907 374.520198 376.390293 375.689939 375.090167 373.970717 375.520438 375.520438 374.460593 373.879448 373.689458 374.000520 372.920185 372.311100 373.059884 372.380018 372.350216 371.810049 376.760960 375.779346 375.669450 374.879688 374.719501 374.140218 374.250114 373.041257 376.580283 375.458971 375.369564 374.350697 375.259668 375.149772 373.858958 373.950228 374.939293 375.080854 374.410301 373.620540 
16384 382.410362 380.679965 379.920006 379.230827 385.560095 385.399908 384.539366 383.099541 386.869535 386.560336 385.640189 384.548679 392.001122 390.930101 390.179455 389.460474 389.739871 388.730317 387.750566 387.579203 388.739631 387.718901 387.119129 386.510044 386.139378 386.031345 384.520739 383.580104 386.551023 386.260450 384.669751 384.001061 384.161249 383.669510 381.650403 381.499529 382.080674 381.158665 380.279496 379.579142 379.970297 379.450619 378.100201 377.459452 388.771296 388.009474 387.148932 386.219472 386.679545 384.669751 383.850187 383.360311 385.450199 384.658575 383.419916 382.550061 382.820144 381.909311 381.508842 380.780548 384.818763 384.140760 383.060426 381.790102 
16384 377.250835 376.479700 376.230106 375.499949 377.809629 377.260149 376.669690 376.619399 376.749784 376.330689 375.449657 375.200063 380.679965 380.460173 379.920006 379.180536 379.839912 379.448757 379.510224 378.558412 379.450619 379.009172 377.560034 377.550721 378.159806 377.601013 377.319753 376.481563 379.830599 379.590318 378.580764 378.169119 378.919765 378.480181 377.170742 376.388431 377.660617 375.879928 374.609604 374.700874 375.030562 374.749303 373.709947 373.600051 378.569588 377.820805 376.850367 376.781449 376.800075 376.900658 375.671312 375.380740 376.479700 376.110896 375.449657 374.568626 375.671312 375.431031 374.129042 373.920426 377.750024 377.470627 376.420096 375.980511 
16384 388.829038 388.249755 386.640429 385.930762 386.230648 385.239720 384.299085 382.728875 383.179635 382.838771 382.050872 381.490216 387.858599 387.389213 385.869294 385.809690 386.729836 385.120511 384.509563 383.518636 384.291634 383.930281 382.151455 381.760299 382.440165 381.670892 381.590798 380.819663 388.700515 388.039276 387.318432 386.929139 386.608765 385.940075 384.561718 383.868814 384.939834 383.811072 382.669270 381.959602 382.138416 381.009653 380.000100 379.519537 387.800857 386.778265 385.969877 384.930521 385.660678 385.459512 383.969396 383.140519 386.750326 385.919586 384.610146 383.831561 384.969637 382.598490 382.039696 381.700695 391.039997 390.589237 389.648601 388.989225 
16384 377.370045 377.260149 376.051292 375.799835 376.170501 374.849886 374.849886 374.261290 374.371186 374.281779 373.519957 372.840092 380.659476 379.968435 379.279256 379.331410 379.370525 378.569588 378.489494 378.049910 378.819183 378.169119 376.569107 376.610085 376.541167 376.218930 375.280157 374.550000 379.528850 379.269943 378.411263 378.070399 378.850847 378.390774 377.520919 377.340242 377.980992 377.260149 375.859439 376.289710 376.120210 374.279916 374.509022 374.089926 379.990786 379.040837 378.251076 377.789140 378.310680 378.001481 377.260149 376.330689 379.359350 378.210098 378.249213 377.750024 377.630815 377.191231 376.580283 376.630574 377.859920 377.699733 376.949087 376.729295 
