#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
1048576 6990.078837 6989.080459 6979.119033 6956.929341 6938.898936 6919.980049 6907.450035 6890.419871 6876.360625 6855.810061 6844.660267 6861.099973 6875.790656 6887.700409 6902.290508 6917.340681 6921.559572 6908.841431 6901.988760 6892.479956 6883.438677 6893.910468 6913.280115 6930.340081 6944.131106 6958.229467 6966.060027 6974.250078 6984.319538 6992.269307 7001.109421 7007.040083 7007.529959 7005.918771 6999.159232 6993.019953 6989.000365 6975.550205 6960.229948 6943.449378 6931.658834 6920.380518 6911.018863 6903.428584 6889.009848 6898.880005 6918.419152 6938.999519 6942.380220 6923.740730 6907.051429 6897.948682 6898.609921 6886.780262 6881.499663 6896.911189 6906.021386 6927.860901 6948.009133 6961.259991 6965.639070 6971.649826 6983.960047 6989.430636 
1048576 7011.339068 7009.329274 7004.229352 6998.280063 6991.989911 6979.810074 6967.591122 6950.059906 6944.010034 6943.089887 6917.869672 6908.070296 6889.920682 6867.559627 6866.199896 6884.200498 6890.069693 6875.719875 6887.078285 6900.100037 6905.490533 6918.691099 6933.599710 6953.658536 6966.190413 6982.831284 6999.351084 7006.729022 7011.169568 7022.678852 7032.681257 7037.559524 7038.269192 7037.131116 7028.330117 7018.338889 7018.581033 7015.109062 7006.149739 6986.809894 6976.010278 6955.560297 6938.390434 6922.099739 6905.879825 6888.970733 6885.999814 6904.270500 6910.638884 6895.799190 6879.668683 6863.670424 6876.800209 6896.831095 6916.901097 6936.151534 6956.430152 6964.299828 6970.999762 6979.709491 6988.460198 6997.948512 7005.389780 7010.729983 
1048576 7056.739181 7054.500282 7045.840845 7038.559765 7040.169090 7028.399035 7017.169148 6998.160854 6984.209642 6966.201589 6949.199364 6932.450458 6918.570027 6904.490292 6887.270138 6893.830374 6898.330525 6885.940209 6856.899709 6837.420166 6838.839501 6846.969947 6860.539317 6876.399741 6884.248927 6899.969652 6917.100400 6925.430149 6941.739470 6950.821728 6956.400350 6961.101666 6963.010877 6960.149854 6959.000602 6950.860843 6935.900077 6922.069937 6907.369941 6898.909807 6898.589432 6881.421432 6865.289062 6856.180727 6872.959435 6891.209632 6909.288466 6923.209876 6929.559633 6919.400766 6902.920082 6902.189925 6910.778582 6935.959682 6945.529953 6962.850690 6982.099265 6996.069103 7013.609633 7025.120780 7029.939443 7038.889453 7050.029933 7055.051625 
1048576 6921.179593 6919.249892 6908.169016 6895.780563 6897.119805 6893.629208 6885.999814 6866.570562 6855.281070 6834.499538 6816.700101 6800.990552 6784.619763 6789.160892 6808.919832 6826.359779 6832.338870 6820.078939 6799.660623 6782.680750 6768.289953 6782.390177 6798.468530 6819.630042 6839.049980 6860.399619 6868.500262 6875.909865 6884.410977 6894.581020 6902.391091 6907.969713 6908.759475 6906.010211 6900.800392 6893.100217 6878.459826 6865.201518 6849.570200 6840.480492 6833.160296 6825.789809 6805.939600 6789.280102 6773.250178 6753.470749 6769.910455 6779.059768 6783.168763 6778.579205 6766.488776 6771.000102 6782.650948 6793.610752 6810.041144 6830.118597 6846.239790 6860.349327 6881.758571 6894.061342 6897.639483 6901.510060 6915.349513 6920.350716 
1048576 7001.200691 6999.209523 6991.360337 6980.609149 6972.720847 6971.579045 6960.060447 6953.429431 6953.628734 6934.998557 6919.300184 6906.790659 6899.209693 6876.278669 6864.760071 6865.359843 6870.748475 6856.730208 6845.530123 6831.530482 6826.870143 6845.798343 6858.279929 6873.330101 6886.940449 6903.389469 6913.540885 6933.350116 6938.070059 6943.309680 6956.668571 6962.090731 6962.889805 6960.330531 6950.888783 6947.299466 6943.229586 6924.679503 6917.089224 6890.799850 6884.630769 6867.529824 6851.339713 6850.710139 6849.259138 6826.179102 6806.731224 6810.249761 6817.869842 6836.120039 6851.900369 6870.260462 6886.890158 6904.259324 6910.540164 6919.279695 6939.349696 6950.980052 6960.928440 6969.511509 6973.361596 6983.879954 6994.411349 6999.969482 
1048576 6948.690861 6948.070601 6943.469867 6942.629814 6931.370124 6918.130443 6905.339658 6889.360026 6882.039830 6865.989417 6853.248924 6837.548688 6828.589365 6811.501458 6813.511252 6829.939783 6836.500019 6824.038923 6803.451106 6803.680211 6813.390180 6829.330698 6844.360381 6864.551455 6884.239614 6900.658831 6915.820763 6934.819743 6939.630955 6942.458451 6956.549361 6961.710751 6962.139159 6960.220635 6949.391216 6946.241483 6943.549961 6932.340562 6912.749261 6892.779842 6886.789575 6867.108867 6851.160899 6835.669279 6826.121360 6842.020899 6858.529523 6874.479353 6878.260523 6864.570081 6852.580234 6840.629503 6834.309548 6833.519787 6854.038686 6866.099313 6881.609559 6897.209212 6907.798350 6916.889921 6932.839751 6939.310580 6944.919005 6947.269663 
1048576 6946.319714 6945.379078 6940.130144 6932.510063 6926.199421 6912.419572 6894.510239 6876.880303 6870.320067 6857.298315 6846.340373 6843.969226 6822.820753 6810.449064 6790.729240 6794.748828 6801.830605 6790.479645 6772.639230 6755.540147 6773.680449 6792.020053 6807.740778 6826.339290 6845.010445 6852.110848 6860.399619 6873.408332 6878.519431 6886.100397 6897.550076 6903.110072 6902.869791 6901.429966 6893.089041 6888.180971 6884.509698 6874.520332 6865.620613 6865.371019 6850.671023 6831.120700 6814.919412 6798.479706 6816.480309 6829.880178 6843.511015 6857.810542 6861.388683 6853.239611 6843.660027 6832.940504 6817.489862 6831.260398 6850.769743 6871.480495 6884.880364 6900.079548 6906.591356 6914.390251 6924.111396 6932.569668 6940.430030 6945.028901 
1048576 6888.568401 6886.040792 6877.319887 6867.110729 6859.678775 6857.480854 6849.600002 6848.311052 6831.169128 6813.030690 6794.119254 6780.929863 6795.139983 6812.680513 6827.831268 6844.630465 6848.528981 6835.749373 6823.439151 6809.309125 6799.949333 6786.501035 6800.530478 6816.659123 6832.489744 6848.439574 6864.739582 6871.100515 6886.320189 6892.779842 6898.129359 6903.320551 6904.400885 6902.100518 6899.010390 6894.320250 6884.019822 6870.780140 6858.849898 6841.721013 6834.410131 6816.200912 6805.399433 6795.110181 6785.830483 6768.008694 6757.231429 6742.071360 6746.498868 6731.608883 6745.079532 6759.889424 6769.821048 6776.459515 6793.569773 6809.849292 6817.920133 6837.978959 6848.141551 6856.881082 6861.468777 6871.221587 6881.220266 6886.759773 
1048576 6950.519979 6949.121132 6940.279156 6928.250194 6913.630292 6900.249049 6887.698546 6875.170395 6869.278848 6857.510656 6844.850257 6829.449907 6814.900786 6797.820330 6799.569353 6815.180182 6820.900366 6808.320060 6796.920672 6778.769195 6782.799959 6796.360016 6806.408986 6820.619106 6836.339831 6854.919717 6867.421791 6884.248927 6895.558909 6900.940090 6910.670549 6916.049868 6916.970015 6915.468723 6908.189505 6906.250492 6897.930056 6877.349690 6866.989657 6849.430501 6838.150322 6820.440292 6808.130071 6822.969764 6840.469316 6856.320426 6871.290505 6884.060800 6889.889017 6883.479655 6872.201338 6856.519729 6842.490286 6824.649870 6837.029010 6855.159998 6875.310093 6894.430146 6909.999996 6919.680163 6923.198700 6932.931021 6943.311542 6949.279457 
1048576 7005.630061 7005.508989 7002.880797 6997.350603 6985.910237 6965.199485 6947.411224 6929.520518 6922.850385 6902.940571 6886.929274 6865.289062 6845.999509 6827.268749 6808.849052 6821.610034 6826.128811 6845.740601 6862.610579 6881.369278 6887.780502 6915.340200 6920.540705 6927.520037 6949.460134 6961.049512 6970.738992 6977.658719 6983.719766 6994.759664 7004.000247 7010.629401 7011.059672 7008.569315 7001.379505 6992.269307 6984.118372 6974.948570 6970.100105 6962.979212 6964.469329 6945.610046 6929.431111 6928.149611 6902.828813 6898.339838 6914.600730 6924.219429 6930.500269 6923.679262 6909.649819 6893.519312 6880.369037 6890.689954 6902.959198 6909.649819 6926.009431 6942.851469 6958.641112 6972.368807 6989.041343 6995.178759 7002.169266 7004.618645 
