#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
1 1783.430576 1770.140603 1815.170050 1821.130514 1750.720665 1794.189215 1795.180142 1772.539690 1768.020913 1801.259816 1753.529534 1826.450229 1769.930124 1830.831170 1804.269850 1822.369173 1754.689962 1774.150878 1775.680110 1758.920029 1765.748486 1781.249419 1793.438569 1754.449680 1756.509766 1766.791567 1768.020913 1760.819927 1816.740260 1804.580912 1780.141145 1818.139106 1808.090135 1767.689362 1776.169986 1758.160070 1752.439886 1812.579110 1812.878996 1766.219735 1724.978909 1800.220460 1798.478886 1742.349938 1773.940399 1783.380285 1805.149019 1806.119457 1763.090491 1763.939857 1770.239323 1769.380644 1790.070906 1777.550206 1761.190593 1765.340567 1755.598933 1738.689840 1732.131466 1745.698974 1794.809476 1795.919612 1781.558618 1770.230010 
1 31.361356 34.701079 35.680830 29.711053 33.270568 31.370670 31.480566 33.229589 33.210963 32.011420 31.700358 33.460557 31.579286 34.939498 36.010519 32.220036 36.491081 40.009618 39.620325 36.519021 43.630600 55.549666 55.849552 43.399632 42.939559 56.959689 53.780153 43.570995 36.111102 44.550747 45.230612 36.401674 39.590523 46.059489 45.390800 38.860366 44.340268 42.660162 42.971224 44.669956 43.440610 41.831285 41.728839 44.150278 40.980056 46.519563 45.470893 40.579587 34.978613 37.539750 37.150458 34.449622 33.259392 36.699697 36.038458 33.020973 32.989308 37.079677 37.830323 34.280121 34.900382 37.729740 35.850331 35.509467 
1 21.180138 21.239743 21.530315 21.450222 20.639971 21.480024 21.409243 20.749867 21.800399 22.040680 22.210181 21.720305 21.180138 21.740794 21.848828 21.351501 20.910054 21.340325 21.539629 20.910054 21.388754 21.200627 21.290034 21.129847 22.180378 21.921471 21.819025 22.199005 21.390617 21.539629 21.589920 21.278858 20.518899 21.521002 22.359192 20.541251 21.269545 20.511448 20.889565 21.109357 21.690503 21.269545 21.589920 21.221116 21.221116 21.198764 21.710992 21.200627 21.150336 21.610409 21.720305 21.280721 21.601096 21.360815 21.740794 21.278858 21.779910 22.239983 22.210181 21.830201 21.599233 21.548942 21.759421 21.509826 
1 877.199695 877.989456 880.949199 883.208588 804.821029 863.378868 879.731029 800.680369 883.759931 879.609957 887.699425 882.141292 880.230218 889.660791 879.349187 878.680497 879.880041 885.460526 883.098692 875.920057 882.210210 867.789611 884.760171 865.340233 880.260020 891.771168 886.330381 880.250707 882.999972 882.109627 878.591090 881.709158 882.210210 882.050022 899.748877 881.990418 878.181309 863.999128 880.640000 862.160698 883.530825 878.838822 883.890316 874.320045 885.920599 879.799947 880.550593 883.080065 879.310071 879.289582 891.050324 877.389684 887.120143 858.241692 875.160098 870.069489 887.840986 876.139849 887.490809 876.570120 877.181068 884.458423 878.660008 884.780660 
1 66.749752 75.500458 67.269430 69.269910 39.158389 50.950795 56.348741 41.060150 56.929886 67.511573 69.109723 68.200752 55.890530 62.501058 75.578690 55.959448 67.340210 82.120299 87.419525 68.498775 49.060211 75.750053 71.479008 59.699640 56.579709 77.698380 59.550628 63.771382 57.870522 60.521066 70.869923 56.399032 70.329756 73.419884 86.709857 73.440373 67.019835 65.460801 59.319660 66.250563 67.029148 73.280185 68.821013 60.150400 67.520887 74.010342 74.619427 70.609152 59.440732 66.168606 67.340210 68.459660 73.350966 51.589683 51.490963 57.639554 61.530620 60.660765 61.240047 45.249239 56.250021 67.161396 69.610775 62.709674 
1 20.420179 21.049753 20.191073 20.431355 19.120052 20.550564 20.070001 18.810853 19.900501 20.191073 19.039959 19.671395 19.909814 20.090491 20.109117 20.569190 22.118911 22.869557 21.768734 21.440908 21.720305 21.358952 20.569190 21.768734 22.219494 18.808991 15.741214 21.860003 21.260232 21.750107 21.580607 20.630658 22.741035 22.670254 20.209700 22.349879 21.779910 20.818785 20.138919 21.621585 22.130087 19.799918 19.829720 21.439046 21.850690 21.358952 21.848828 22.120774 20.779669 21.429732 18.740073 20.349398 20.429492 21.899119 21.720305 19.509345 19.790605 21.519139 20.479783 19.408762 20.870939 20.459294 20.779669 19.850209 
1 17.439947 17.600134 18.090010 17.339364 17.128885 17.059967 16.979873 17.080456 17.179176 17.570332 16.849488 16.929582 17.210841 18.239021 17.650425 16.940758 16.210601 15.329570 13.750046 15.990809 16.329810 15.830621 15.908852 16.439706 16.160309 18.488616 17.629936 16.320497 15.839934 16.281381 16.059726 15.400350 16.609207 16.428530 16.529113 16.590580 16.389415 16.439706 16.910955 16.750768 17.048791 16.538426 16.270205 16.918406 16.421080 16.380101 16.558915 16.801059 18.700957 18.268824 18.298626 18.568709 17.279759 16.609207 16.450882 16.828999 17.669052 16.828999 16.730279 17.199665 17.940998 17.710030 17.039478 17.570332 
1 16.069040 17.289072 16.869977 16.180798 15.148893 16.439706 16.478822 15.560538 16.311184 17.279759 16.679987 16.350299 15.819445 17.020851 16.679987 15.769154 16.389415 17.348677 17.460436 16.219914 16.489998 16.879290 16.588718 16.300008 16.789883 14.450401 14.739111 16.909093 16.950071 16.890466 17.279759 16.778708 17.510727 17.041340 16.260892 17.939135 16.899779 17.691404 17.579645 16.670674 16.700476 17.348677 17.220154 16.339123 17.469749 17.371029 17.121434 17.790124 16.270205 16.689301 16.150996 16.879290 16.009435 17.020851 16.849488 15.959144 16.359612 16.480684 16.950071 15.979633 16.679987 16.460195 16.458333 16.380101 
1 14.500692 14.720485 14.960766 15.048310 14.631078 14.221296 15.079975 14.429912 14.230609 14.120713 14.889985 14.370307 14.699996 14.908612 14.260411 14.899299 14.921650 14.699996 14.908612 15.269965 13.960525 14.411286 14.550984 14.141202 14.308840 14.688820 15.370548 14.029443 14.550984 14.629215 15.331432 14.999881 14.889985 15.098602 15.510246 14.739111 14.120713 14.461577 14.411286 14.690682 14.489517 14.949590 14.929101 14.469028 14.590099 14.729798 15.020370 15.219674 14.960766 14.519319 14.979392 15.370548 16.249716 14.210120 15.059486 16.560778 15.301630 14.418736 15.070662 15.791506 15.120953 14.780089 15.059486 15.540048 
1 14.970079 15.169382 15.098602 15.320256 14.560297 15.070662 14.979392 15.038997 14.999881 15.569851 15.139580 15.130267 14.800578 14.839694 14.970079 14.599413 14.750287 15.079975 14.929101 14.869496 14.659017 14.768913 14.320016 14.631078 14.308840 14.320016 14.869496 14.869496 15.150756 16.201288 15.489757 15.011057 14.899299 15.409663 15.459955 14.759600 14.631078 15.038997 14.990568 15.009195 14.850870 14.420599 14.940277 14.729798 15.210360 15.430152 15.400350 14.670193 15.230849 14.739111 15.279278 14.910474 15.489757 15.988946 16.190112 15.109777 15.150756 15.610829 15.839934 15.400350 15.340745 15.240163 14.681369 15.040860 
