#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
8 106.880441 106.640160 105.770305 106.800348 107.230619 107.148662 107.061118 106.839463 107.279047 107.299536 107.351691 107.109547 106.878579 106.630847 107.288361 107.061118 107.258558 107.349828 107.560307 107.359141 107.478350 107.079744 107.608736 107.498839 106.660649 106.940046 107.578933 106.990337 107.049942 107.198954 107.178465 107.349828 107.400119 107.340515 107.379630 106.759369 107.420608 107.239932 107.560307 107.351691 106.789172 106.789172 107.400119 107.420608 107.171014 107.049942 107.290223 107.470900 106.560066 106.899068 105.701387 107.539818 106.899068 106.690452 107.310712 107.819214 103.089958 107.180327 107.219443 107.320026 105.949119 106.960535 107.109547 107.020140 
8 985.279679 986.021012 986.419618 986.160710 985.391438 985.510647 986.259431 985.611230 985.870138 985.678285 985.659659 986.430794 985.790044 984.771177 985.911116 985.329971 986.099243 985.680148 986.671075 986.089930 985.650346 985.819846 985.909253 985.689461 986.719504 985.570252 985.929742 985.840335 986.320898 985.439867 990.558416 985.410064 986.669213 985.270366 985.639170 985.410064 988.079235 985.341147 985.320657 985.210761 986.250117 985.151157 985.709950 985.519961 987.989828 985.389575 985.259190 987.470150 987.440348 985.341147 986.000523 986.130908 988.079235 985.380262 986.490399 985.400751 985.559076 985.009596 985.460356 985.680148 985.650346 985.190272 989.340246 985.089689 
8 91.310591 91.560185 92.219561 90.969726 91.359019 91.480091 92.079863 91.729686 91.180205 91.549009 91.589987 89.459121 90.369955 91.969967 91.928989 91.910362 91.880560 92.109665 91.949478 91.940165 91.578811 91.740862 91.848895 92.109665 91.699883 91.899186 92.159957 91.958791 90.058893 91.960654 91.040507 92.208385 91.560185 91.359019 90.090558 91.269612 91.528520 91.521069 91.839582 91.791153 91.269612 91.860071 92.068687 91.791153 91.269612 91.770664 91.750175 91.798604 91.198832 91.269612 92.079863 90.640038 91.740862 91.809779 90.399757 91.979280 91.621652 91.409311 92.059374 91.699883 91.249123 91.709197 91.079623 91.610476 
8 69.759786 69.539994 70.009381 69.681555 69.789588 69.919974 70.180744 70.331618 69.750473 69.649890 70.288777 69.510192 69.750473 69.510192 69.789588 69.791451 69.411471 69.489703 70.109963 69.729984 69.910660 69.940463 69.979578 70.309266 69.569796 69.750473 69.640577 70.068985 69.510192 69.670379 69.851056 69.789588 69.800764 69.970265 70.121139 69.960952 70.130453 69.919974 70.009381 69.869682 70.020556 69.959089 70.119277 70.020556 69.800764 69.528818 70.059672 69.750473 69.819391 69.599599 70.190057 69.741160 69.988891 69.828704 69.890171 69.860369 69.240108 69.590285 70.098788 69.940463 69.359317 69.709495 70.130453 69.519505 
8 68.388879 68.569556 68.919733 68.530440 68.308786 68.761408 68.830326 68.780035 68.210065 68.461522 68.569556 68.658963 68.301335 68.411231 68.679452 68.420544 68.731606 68.539754 69.001690 68.860129 68.590045 68.619847 69.169328 69.059432 68.331137 68.480149 68.830326 68.860129 68.159774 68.560243 68.791211 68.981200 68.441033 68.500638 69.040805 68.889931 68.610534 68.480149 68.850815 68.949535 68.539754 68.400055 68.658963 68.629161 68.239868 67.939982 68.539754 68.759546 68.290159 68.290159 68.679452 68.491325 68.688765 68.599358 69.040805 68.590045 68.388879 68.189576 68.629161 68.500638 68.420544 68.519264 68.850815 68.608671 
8 67.690387 67.830086 67.899004 68.159774 67.869201 67.990273 68.319961 68.150461 67.880377 67.610294 68.239868 68.040565 67.479908 67.990273 67.710876 67.500398 67.789108 68.150461 68.299472 68.418682 68.139285 68.150461 68.709254 68.228692 67.759305 67.690387 68.461522 68.120658 67.271292 67.999586 68.159774 68.100169 67.599118 68.031251 68.249181 68.159774 67.969784 68.280846 68.180263 68.331137 68.020076 68.249181 68.200752 68.170950 67.630783 67.859888 68.079680 68.010762 67.610294 67.740679 67.960471 67.910179 67.820773 67.880377 67.740679 67.770481 67.651272 67.610294 68.159774 67.740679 67.360699 67.381188 68.061054 67.560002 
8 67.090616 66.990033 67.239627 67.230314 67.070127 67.040324 67.168847 67.479908 66.759065 66.939741 66.891313 67.051500 66.598877 67.150220 66.859648 66.950917 67.129731 66.880137 67.170709 67.370012 67.129731 66.889450 67.019835 67.420304 66.960230 67.058951 67.491084 67.379326 66.878274 67.289919 67.239627 66.749752 66.800043 66.859648 67.129731 67.269430 66.958368 66.880137 67.329034 67.340210 66.949055 66.690147 66.919252 66.909939 66.319481 66.781417 66.898763 67.079440 66.500157 66.660345 66.900626 66.980720 66.859648 66.820532 67.168847 67.111105 66.721812 66.488981 66.990033 67.029148 66.529959 66.621229 66.950917 66.719949 
8 66.438690 66.429377 66.809356 67.070127 66.760927 66.790730 66.868961 66.850334 66.719949 66.420063 67.161396 67.029148 66.019595 66.099688 66.759065 66.438690 66.809356 66.520646 66.770241 67.139044 66.921115 66.781417 67.070127 67.159534 66.781417 66.939741 66.891313 67.029148 66.179782 66.719949 66.600740 66.859648 66.518784 66.649169 66.889450 67.051500 66.708773 66.790730 67.051500 67.170709 66.351146 66.749752 66.628680 66.729262 66.520646 66.358596 66.569075 66.511333 66.721812 66.490844 66.630542 66.708773 66.719949 66.541135 67.120418 67.081302 66.589564 66.738576 67.019835 66.859648 66.550449 66.408888 66.680834 66.909939 
8 67.459419 67.699701 67.939982 67.900866 67.699701 67.498535 68.081543 67.679211 67.390501 67.580491 67.841262 67.770481 67.669898 67.710876 67.889690 67.530200 67.789108 67.779794 67.859888 68.090856 67.969784 67.681074 68.038702 67.990273 67.889690 67.839399 68.120658 68.100169 67.479908 67.899004 67.610294 67.770481 67.640096 67.770481 68.129972 68.068504 67.880377 67.699701 67.910179 68.051741 67.621469 67.679211 67.770481 67.761168 67.589805 67.679211 67.759305 67.809597 67.789108 67.729503 67.930669 67.919493 67.370012 67.738816 67.979097 68.059191 67.589805 67.731366 67.960471 67.539513 67.610294 67.630783 67.619607 67.779794 
8 66.189095 66.481531 66.649169 66.410750 66.339970 66.850334 66.880137 66.669658 66.250563 66.459179 66.839159 66.420063 66.490844 66.619366 66.610053 66.440552 66.541135 66.390261 66.900626 66.449866 66.628680 66.500157 66.660345 66.431239 66.580251 66.479668 66.461042 66.351146 65.989792 65.999106 66.539273 66.259876 66.179782 66.639856 66.820532 66.170469 66.829845 66.109002 66.690147 66.818669 66.129491 66.209584 66.820532 66.719949 66.090375 66.529959 66.289678 66.269189 65.919012 66.669658 66.468492 66.399574 66.149980 66.459179 66.839159 66.760927 66.500157 66.131353 66.390261 66.339970 65.820292 66.408888 66.600740 66.259876 
