#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
67108864 33903.300762 33908.309415 33912.340179 33910.339698 33894.740045 33898.228779 33912.578598 33909.991384 33935.509622 33937.700093 33915.620297 33914.010972 33934.829757 33935.599029 33914.120868 33912.248909 33672.939986 33676.909283 33513.210714 33511.338755 33664.559945 33676.030114 33516.619354 33514.289185 33650.260419 33653.721213 33751.329407 33745.920286 33649.081364 33653.581515 33745.149150 33745.711669 33865.939826 33872.550353 33945.249394 33943.079412 33849.500120 33835.589886 33938.229084 33937.940374 34161.850810 34166.339785 34159.420058 34160.349518 33976.310864 33975.319937 33994.968981 33991.819248 34439.848736 34443.769604 34418.849275 34415.811300 34449.670464 34448.258579 34397.909418 34409.210086 34565.741196 34565.091133 34505.309537 34504.810348 34560.669214 34569.030628 34503.709525 34501.221031 
67108864 34346.200526 34343.769774 33272.070810 33278.550953 34346.209839 34345.259890 33273.080364 33277.489245 34396.631643 34392.600879 33434.109762 33442.329615 34394.999966 34391.529858 33434.759825 33437.320963 34350.590780 34351.449460 33423.889428 33428.668976 34356.279299 34350.050613 33428.341150 33428.121358 34398.511052 34399.289638 33617.211506 33621.199429 34395.439550 34398.289397 33614.210784 33616.980538 34424.820915 34430.809319 33784.320578 33787.628636 34427.510574 34429.220483 33787.468448 33789.789304 34439.839423 34444.769844 33724.751323 33730.709925 34439.299256 34441.910684 33724.030480 33729.059622 34423.429519 34422.460943 33701.550215 33709.149808 34428.408369 34422.729164 33706.229180 33708.939329 34431.898966 34425.780177 33635.109663 33640.099689 34430.341795 34421.930090 33634.049818 33637.080342 
67108864 31982.019544 31995.419413 31631.588936 31622.231007 31990.678981 32000.109553 31636.679545 31626.440585 32270.349562 32270.280644 31869.590282 31863.059849 32262.921333 32269.960269 31866.529956 31859.090552 31983.630732 31995.449215 31631.559134 31622.610986 31992.029399 32002.080232 31638.208777 31627.269462 32270.200551 32273.530960 31873.999164 31864.009798 32265.350223 32270.001248 31868.249178 31859.910116 32299.209386 32304.219902 31866.980717 31869.510189 32304.858789 32308.099791 31873.131171 31871.370971 32242.549583 32249.100506 31810.561195 31809.709966 32239.159569 32247.150317 31809.199601 31801.680103 32295.960933 32302.290201 31865.250319 31868.109480 32305.469736 32308.029011 31874.621287 31869.860366 32242.579386 32251.330093 31810.559332 31805.850565 32236.421481 32249.270007 31806.541607 31801.519915 
67108864 29423.810542 29430.879280 29457.310215 29456.211254 29425.110668 29430.741444 29458.630830 29454.920441 29563.078657 29567.759484 29603.060335 29600.979760 29565.330595 29570.059851 29604.978859 29602.870345 29379.690066 29386.620969 29457.049444 29453.851283 29379.868880 29385.730624 29457.369819 29453.000054 29560.931027 29565.181583 29594.000429 29591.899365 29563.048854 29566.708952 29594.009742 29594.128951 29549.561441 29556.950554 29591.400176 29591.059312 29548.520222 29549.600556 29593.011364 29588.539153 29696.119949 29697.909951 29689.520597 29687.751085 29697.081074 29701.100662 29690.859839 29687.540606 29572.028667 29579.509050 29607.761651 29607.949778 29571.199790 29572.989792 29609.190300 29607.839882 29695.909470 29698.120430 29708.918184 29702.330008 29699.679464 29700.599611 29710.819945 29704.909772 
67108864 35414.800048 35419.499502 35122.429952 35118.751228 35415.589809 35420.019180 35121.889785 35119.440407 35098.198801 35104.090348 35034.790635 35034.600645 35097.500309 35100.080073 35033.419728 35029.679537 35628.570244 35629.080608 35604.638979 35608.500242 35631.580278 35629.710183 35608.191043 35611.748695 35718.439147 35716.610029 35702.129826 35684.099421 35718.889907 35716.259852 35698.950291 35692.540929 35612.899810 35614.378750 35617.249086 35630.241036 35600.770265 35615.660250 35629.170015 35630.689934 35675.508901 35685.269162 35702.889785 35704.100505 35671.290010 35662.610084 35705.020651 35704.169422 35233.950242 35239.860415 35223.409534 35221.310332 35235.660151 35241.428763 35227.978602 35226.499662 35306.381062 35291.669890 35143.140703 35144.660622 35284.560174 35289.900377 35139.070824 35140.229389 
67108864 32304.059714 32303.439453 32382.220030 32384.909689 32313.648611 32316.520810 32396.130264 32392.298803 32356.811687 32354.241237 32344.749197 32342.189923 32365.810126 32367.089763 32331.958413 32331.820577 32302.699983 32307.490706 32385.900617 32386.070117 32314.850017 32317.010686 32399.289310 32398.819923 32359.449193 32356.929034 32343.549654 32339.990139 32367.600128 32366.659492 32339.541242 32336.030155 32285.999507 32287.189737 32304.570079 32306.449488 32294.319943 32295.491546 32324.019819 32323.690131 32354.360446 32352.900133 32289.428636 32282.600179 32361.010090 32359.819859 32267.760485 32277.310267 32280.920073 32282.020897 32306.870446 32306.589186 32293.140888 32296.068966 32317.409292 32316.630706 32351.069152 32350.629568 32285.260037 32284.978777 32360.969111 32361.589372 32279.210165 32274.268568 
67108864 32732.820138 32735.610381 32634.630799 32633.841038 32888.280228 32891.908661 32738.020644 32739.341259 32570.620999 32573.441043 32455.930486 32454.499975 32324.869186 32325.949520 32156.098634 32152.200118 32730.570063 32730.448991 32630.460337 32629.180700 32882.701606 32884.830609 32732.499763 32730.178908 32568.009570 32570.870593 32454.000786 32452.881336 32333.170995 32322.730869 32149.458304 32151.889056 32875.500619 32879.810780 32751.539722 32753.201202 33396.910876 33395.828679 33233.549446 33235.158771 33234.590665 33238.440752 32881.569117 32877.409831 32574.260607 32574.130222 32256.720588 32254.520804 32877.000049 32882.479951 32755.799592 32755.149528 33398.969099 33403.109759 33240.349963 33239.088953 33240.620047 33239.800483 32887.561247 32884.109765 32577.410340 32578.930259 32261.939719 32262.848690 
67108864 33624.088392 33622.080460 33670.390025 33674.750477 33624.969423 33623.909578 33671.919256 33677.889034 34502.031282 34498.689696 34701.270983 34703.399986 34501.180053 34497.490153 34697.139636 34700.591117 33877.579495 33876.029775 33678.298816 33682.199195 33882.120624 33876.419067 33679.019660 33685.190603 34756.429493 34751.070663 34715.780988 34721.819684 34756.189212 34751.430154 34714.950249 34718.008712 33389.139920 33389.899880 33349.718899 33354.861662 33378.280699 33377.109095 33351.689577 33355.640247 34598.870203 34598.799422 34754.840657 34757.029265 34595.599398 34596.489742 34755.159169 34755.470231 33379.700035 33384.049311 33347.880468 33353.289589 33376.250416 33381.750807 33352.470025 33355.461434 34604.689106 34598.650411 34740.928560 34746.030346 34602.019936 34597.801045 34740.641713 34744.970500 
67108864 31059.641391 31062.029302 31088.620424 31086.819246 31059.600413 31060.200185 31080.018729 31078.919768 30991.779640 30990.669504 31069.729477 31071.269885 30998.529866 31000.370160 31079.780310 31082.859263 31063.521281 31066.630036 31090.550125 31091.809273 31060.781330 31063.759699 31086.128205 31085.219234 30989.428982 30995.499343 31074.220315 31075.319275 30998.671427 31005.408615 31083.470210 31083.030626 31254.559755 31261.969358 31102.919951 31102.489680 31253.831461 31258.611009 31105.371192 31102.748588 31188.929453 31193.420291 31091.120094 31083.710492 31188.668683 31192.619354 31091.170385 31090.650707 31236.069277 31240.999699 31063.171104 31061.248854 31238.969415 31242.400408 31065.540388 31061.640009 31195.059419 31196.018681 31024.020165 31022.978947 31193.491071 31201.090664 31027.300283 31024.439260 
67108864 31891.461462 31890.930608 31933.259219 31938.171014 31896.309927 31891.440973 31934.868544 31940.119341 32116.020098 32112.220302 32137.330621 32143.460587 32115.409151 32110.309228 32136.950642 32143.490389 31904.529780 31902.529299 31946.320087 31955.929473 31907.331198 31903.229654 31951.071694 31954.400241 32118.249685 32116.780058 32148.629427 32153.701410 32117.959112 32115.630805 32148.841769 32151.719555 31941.149384 31936.500221 31916.180626 31926.209107 31942.920759 31940.391287 31923.389062 31924.638897 32164.450735 32160.369679 32113.339752 32112.289220 32162.979245 32157.370821 32111.991197 32108.809799 31930.740923 31928.189099 31908.258796 31917.110085 31932.691112 31929.980963 31911.749393 31918.520108 32152.699307 32154.308632 32112.680376 32119.130716 32149.860635 32150.208950 32111.030072 32114.248723 
