collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-65536-2,int32,17342415.4,17090529.0,778812.4265839625,16604509,19344239,64x64,10,16790359.0,16929355.0,17515054.75,17862533.9,585699.75,246282.11380479907,16859702.45694259,17825128.343057405,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-1,int32,768752.35,720379.0,192440.56664627368,689929,2306449,64x64,100,698101.9,706091.75,762509.0,848845.9,56417.25,19244.05666462737,731033.9989373303,806470.7010626696,11,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,default-default,int32,98999.34,89294.5,16252.65914604671,87610,151360,64x64,100,88139.0,88386.75,102827.25,128685.90000000001,14440.5,1625.265914604671,95813.81880737485,102184.86119262515,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,RECDOUB-L-UTOFU-65536-1,int32,46258432.53,46260610.0,15427.397774414192,46203679,46282319,64x64,100,46255635.9,46258744.75,46265097.25,46270069.1,6352.5,1542.7397774414192,46255408.760036215,46261456.29996379,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,RECDOUB-L-UTOFU-1048576-1,int32,381703497.5,381709204.0,31044.634144513067,381642690,381750080,64x64,10,381663012.0,381694771.5,381716236.75,381734519.0,21465.25,9817.175302329415,381684255.8364074,381722739.1635926,2,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-65536-1,int32,32549894.59,32549674.5,19619.47312490549,32481809,32600539,64x64,100,32536284.1,32542100.0,32559569.0,32571453.1,17469.0,1961.947312490549,32546049.173267517,32553740.006732482,10,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,RECDOUB-L-UTOFU-4096-1,int32,275087.0,263984.5,20044.439973179193,261250,335780,64x64,100,262406.9,263116.75,278274.0,311536.00000000006,15157.25,2004.4439973179192,271158.28976525686,279015.71023474314,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-recursive_doubling,int32,930223.05,925814.5,14203.820276672757,920879,1009080,64x64,100,922842.0,924387.25,927837.25,942280.0,3450.0,1420.3820276672757,927439.1012257722,933006.9987742279,16,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-4,int32,1301359.33,1022590.0,670482.9122456856,1008849,6548550,64x64,100,1011238.1,1016144.75,1398762.25,1550150.1,382617.5,67048.29122456856,1169944.6791998458,1432773.9808001544,8,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-nonoverlapping,int32,807720.16,797625.0,38363.614732817885,787609,1060829,64x64,100,791241.0,794621.75,803802.5,814385.1000000001,9180.75,3836.3614732817887,800200.8915123678,815239.4284876323,10,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
